series_name,include_main_2007,cv2007_found,cv2007_supw_stat,cv2007_break_date,cv2007_hac_lag,cv2007_mu1,cv2007_mu2,cv2007_ratio,cv2007_pct_change,cv2007_hansen_pval,cv2007_hansen_sig5
RPI,1,1,5.38698738187725,01-Mar-1970,5,0.00302869354313861,0.00402362119113109,1.32850060061258,32.8500600612582,0.211869025565917,0
W875RX1,1,1,9.15012613625125,01-Jun-1972,5,0.00293385806537321,0.00426035447434962,1.45213380450553,45.2133804505526,0.0394278363449023,1
DPCERA3M086SBEA,1,1,41.4476143605995,01-Jan-1992,5,0.00585459291899542,0.0033331702460088,0.569325705839294,-43.0674294160706,5.68514357812688e-09,1
CMRMTSPLx,1,1,38.9154125907479,01-Aug-1992,5,0.0114177511479554,0.00714074520334741,0.625407325034065,-37.4592674965935,2.00551314444297e-08,1
RETAILx,1,1,16.8031766400983,01-Nov-1987,5,0.0123619897152156,0.00867905506470276,0.702075900776735,-29.7924099223265,0.00105682386747563,1
INDPRO,1,1,29.7289615673539,01-Feb-1984,5,0.00731625048885329,0.00458544523653435,0.626747982934774,-37.3252017065226,1.90562805968408e-06,1
IPFPNSS,1,1,28.2914180458568,01-Jan-2000,5,0.00668173441444521,0.00436168500400375,0.652777367890326,-34.7222632109674,3.87268590862355e-06,1
IPFINAL,1,1,24.8556869808405,01-Oct-1999,5,0.00744423877019002,0.00494490838906164,0.664259777489032,-33.5740222510968,2.09810863464055e-05,1
IPCONGD,1,1,20.3009006657751,01-Apr-2000,5,0.00847472601251902,0.00593810563466463,0.700684084168946,-29.9315915831054,0.000194284406769718,1
IPDCONGD,1,1,18.6087075513658,01-Nov-1999,5,0.0187493892176666,0.0121901085972944,0.65016030419851,-34.983969580149,0.000441758385374635,1
IPNCONGD,1,1,3.85832424996224,01-Jan-1976,5,0.00769060783008861,0.00651578218566193,0.847238908759551,-15.2761091240449,0.400106012373099,0
IPBUSEQ,1,1,17.1724835725476,01-Dec-1982,5,0.0114220284802547,0.00784222195815553,0.686587498158703,-31.3412501841297,0.000884482092661343,1
IPMAT,1,1,36.9965545766566,01-Jan-1984,5,0.00945046315128458,0.00541269055561179,0.572743416800272,-42.7256583199728,5.20619126698207e-08,1
IPDMAT,1,1,43.5519640091998,01-Feb-1984,5,0.0144256340045256,0.00754491467191241,0.523021356950095,-47.6978643049905,1.99144301049614e-09,1
IPNMAT,1,1,14.7092279355829,01-Jan-1983,5,0.00996319796591034,0.00659860534586338,0.662297925670141,-33.7702074329859,0.00288695280295492,1
IPMANSICS,1,1,32.8816852084,01-Jan-1984,5,0.00827889546915757,0.0051463822872433,0.621626677908397,-37.8373322091603,4.00859467841741e-07,1
IPB51222S,1,1,153.956717340113,01-Feb-1967,5,0.0104919252038945,0.0282533569168786,2.69286678734531,169.286678734531,0,1
IPFUELS,1,1,7.67526465115315,01-May-1991,5,0.0183835492511995,0.0143403775131096,0.780065770605962,-21.9934229394038,0.0772181887082473,0
CUMFNS,1,1,38.1814426258014,01-Sep-1983,5,0.67052439503661,0.410654231359993,0.612437421218018,-38.7562578781982,2.88906231160624e-08,1
HWI,1,1,72.1637762750259,01-Sep-1968,5,55.2314891729323,116.418251904881,2.1078238817782,110.78238817782,1.22124532708767e-15,1
HWIURATIO,1,1,7.55215703130142,01-Sep-1980,5,0.0316010135045538,0.0237580462282379,0.751812793118622,-24.8187206881378,0.0816231657992876,0
CLF16OV,1,1,39.227902492103,01-Oct-1983,5,0.0030072193879314,0.00185406034647776,0.61653644357259,-38.3463556427411,1.71675280657979e-08,1
CE16OV,1,1,18.5545765207102,01-Feb-1986,5,0.00314136756301039,0.00217668991517637,0.692911565270775,-30.7088434729225,0.000453493461915477,1
UNRATE,1,1,18.1029050985796,01-Jun-1998,5,0.165380078907901,0.120131318456678,0.726395338845969,-27.3604661154031,0.000564301831714742,1
UEMPMEAN,1,1,9.50463766453139,01-Dec-1966,5,0.62464018500788,0.415144147719519,0.664613256853275,-33.5386743146725,0.0334855002331251,1
UEMPLT5,1,1,15.5714876756221,01-Apr-1976,5,0.0519049882958334,0.0369620245743516,0.712109294075666,-28.7890705924334,0.00191048301112917,1
UEMP5TO14,1,1,21.1693684017678,01-Dec-1980,5,0.0613610135581076,0.0426251030043508,0.694660999430619,-30.5339000569381,0.000127289996093238,1
UEMP15OV,1,1,17.388890725434,01-Apr-1971,5,0.0647979145356155,0.043379971951528,0.669465557069506,-33.0534442930495,0.000796786755313583,1
UEMP15T26,1,1,21.3150196627946,01-Feb-1971,5,0.0938260004848651,0.0661696762150512,0.705238162909063,-29.4761837090937,0.000118566373510709,1
UEMP27OV,1,1,30.5470799244681,01-Jul-1980,5,0.0810998887924768,0.051299167429225,0.632543005829421,-36.7456994170579,1.27218670464835e-06,1
CLAIMSx,1,1,19.0080991614639,01-Apr-1985,5,0.055833617782723,0.0389939088722849,0.698394809808492,-30.1605190191508,0.000364018325163418,1
PAYEMS,1,1,67.6084485309487,01-Feb-1984,5,0.00187605223406241,0.000878317348919285,0.468173184611908,-53.1826815388091,1.16573417585641e-14,1
USGOOD,1,1,66.2447922232139,01-Mar-1984,5,0.00386628253003402,0.00176869606060283,0.457466842338414,-54.2533157661586,2.29816166097407e-14,1
CES1021000001,1,1,19.0262510951214,01-Mar-1994,5,0.0125556519789647,0.00509111180584925,0.405483666987483,-59.4516333012517,0.000360828328330953,1
USCONS,1,1,81.5706488113655,01-Mar-1984,5,0.0102615184784382,0.00420800897546278,0.410076635763484,-58.9923364236516,0,1
MANEMP,1,1,37.8723038692747,01-Oct-1983,5,0.00367134864217452,0.00149694576740866,0.407737295829803,-59.2262704170197,3.36903538400435e-08,1
DMANEMP,1,1,35.0551218226441,01-Oct-1983,5,0.00509431964099842,0.00198618991250524,0.38988325281371,-61.011674718629,1.36496600799951e-07,1
NDMANEMP,1,1,30.1518131096938,01-Jan-1983,5,0.00275005229124561,0.00153341722948757,0.557595662587572,-44.2404337412428,1.54651751682611e-06,1
SRVPRD,1,1,26.3700893159079,01-Jun-1991,5,0.00137796552069852,0.000819106739517242,0.59443195581702,-40.556804418298,9.97236264443924e-06,1
USTPU,1,1,22.8893881514788,01-May-1991,5,0.00196813078638491,0.00121311749618466,0.616380529473317,-38.3619470526683,5.49683712839366e-05,1
USWTRADE,1,1,20.5973148855313,01-Feb-1991,5,0.00179648386538711,0.00118784638443596,0.661206263703347,-33.8793736296653,0.000168189412168007,1
