series_name,fred_group,include_hist,include_2007,include_full,uv_nb_hist,uv_break_dates_hist,cv_nb_hist,cv_break_dates_hist,uv_nb_2007,uv_break_dates_2007,cv_nb_2007,cv_break_dates_2007,uv_nb_full,uv_break_dates_full,cv_nb_full,cv_break_dates_full
S&P div yield,Stock Market,1,1,1,3,01-Oct-1973 | 01-Nov-1982 | 01-Mar-1991,3,01-Oct-1973 | 01-Oct-1982 | 01-Feb-1991,5,01-Oct-1973 | 01-Nov-1982 | 01-Mar-1991 | 01-Feb-2001 | 01-Jun-2003,5,01-Oct-1973 | 01-Oct-1982 | 01-Feb-1991 | 01-Apr-1997 | 01-Jun-2003,3,01-Oct-1973 | 01-Nov-1982 | 01-Mar-1991,3,01-Nov-1973 | 01-Nov-1982 | 01-Mar-1991
S&P PE ratio,Stock Market,1,1,1,0,,0,,0,,0,,0,,0,
FEDFUNDS,Interest and Exchange Rates,1,1,1,5,01-Mar-1969 | 01-Oct-1978 | 01-Dec-1984 | 01-Nov-1987 | 01-Jul-1992,5,01-Mar-1969 | 01-Oct-1978 | 01-Jan-1985 | 01-Dec-1987 | 01-Sep-1992,5,01-Mar-1969 | 01-Oct-1978 | 01-Dec-1984 | 01-Nov-1987 | 01-Feb-1995,5,01-Mar-1969 | 01-Oct-1978 | 01-Dec-1984 | 01-Aug-1992 | 01-Oct-2001,5,01-Aug-1979 | 01-Oct-1985 | 01-Jan-1992 | 01-Dec-2008 | 01-Jul-2019,5,01-Sep-1979 | 01-Nov-1985 | 01-Aug-1992 | 01-Dec-2008 | 01-Nov-2017
CP3Mx,Interest and Exchange Rates,1,1,0,5,01-Aug-1960 | 01-Apr-1969 | 01-Jul-1979 | 01-Sep-1985 | 01-Jul-1992,5,01-Apr-1969 | 01-May-1977 | 01-Jun-1983 | 01-Nov-1989 | 01-Dec-1994,5,01-Apr-1969 | 01-Jul-1979 | 01-Sep-1985 | 01-Jul-1992 | 01-Oct-2001,5,01-Feb-1969 | 01-Aug-1979 | 01-Oct-1985 | 01-Jan-1992 | 01-Oct-2001,NaN,,NaN,
TB3MS,Interest and Exchange Rates,1,1,1,5,01-Oct-1960 | 01-May-1969 | 01-Apr-1979 | 01-Jun-1985 | 01-Jan-1993,5,01-Jan-1961 | 01-May-1969 | 01-May-1979 | 01-Jun-1985 | 01-Jul-1992,5,01-Oct-1960 | 01-May-1969 | 01-Apr-1979 | 01-Jun-1985 | 01-Jul-1992,5,01-Jan-1961 | 01-May-1969 | 01-Aug-1979 | 01-Oct-1985 | 01-Oct-2001,5,01-Oct-1960 | 01-May-1969 | 01-Apr-1979 | 01-Jun-1985 | 01-Feb-2009,5,01-May-1969 | 01-Feb-1979 | 01-Apr-1985 | 01-Nov-1992 | 01-Feb-2009
TB6MS,Interest and Exchange Rates,1,1,1,5,01-May-1969 | 01-Apr-1979 | 01-Jun-1985 | 01-Jul-1989 | 01-Nov-1994,5,01-Dec-1960 | 01-May-1969 | 01-May-1979 | 01-Jun-1985 | 01-Jul-1992,5,01-Sep-1960 | 01-May-1969 | 01-Apr-1979 | 01-Jun-1985 | 01-Dec-1994,5,01-Dec-1960 | 01-May-1969 | 01-Aug-1979 | 01-Oct-1985 | 01-Jan-1995,5,01-Apr-1979 | 01-Jun-1985 | 01-Nov-1992 | 01-Feb-2009 | 01-May-2019,5,01-Jun-1966 | 01-May-1973 | 01-Oct-1982 | 01-Aug-1989 | 01-Feb-2009
GS1,Interest and Exchange Rates,1,1,1,5,01-Sep-1960 | 01-May-1969 | 01-Apr-1979 | 01-Jun-1985 | 01-Nov-1992,5,01-Feb-1961 | 01-May-1969 | 01-Aug-1979 | 01-Sep-1985 | 01-Jul-1992,5,01-May-1969 | 01-Aug-1979 | 01-Oct-1985 | 01-Jun-1995 | 01-Oct-2001,5,01-May-1969 | 01-Apr-1979 | 01-Jun-1985 | 01-Jul-1992 | 01-Oct-2001,5,01-May-1969 | 01-Apr-1979 | 01-Jun-1985 | 01-Dec-2008 | 01-May-2019,5,01-May-1973 | 01-Dec-1982 | 01-Aug-1989 | 01-Feb-2009 | 01-May-2019
GS5,Interest and Exchange Rates,1,1,1,5,01-Oct-1960 | 01-Jun-1966 | 01-Sep-1972 | 01-Sep-1979 | 01-May-1986,5,01-Sep-1960 | 01-Nov-1966 | 01-Apr-1973 | 01-Sep-1979 | 01-Jul-1986,5,01-Oct-1960 | 01-Nov-1968 | 01-Sep-1976 | 01-Nov-1982 | 01-Aug-1989,5,01-Sep-1960 | 01-Aug-1969 | 01-Sep-1976 | 01-Nov-1982 | 01-Aug-1989,5,01-Oct-1960 | 01-Nov-1968 | 01-Sep-1979 | 01-May-1986 | 01-Aug-2011,5,01-Aug-1969 | 01-Sep-1976 | 01-Nov-1982 | 01-Aug-1989 | 01-Nov-2011
GS10,Interest and Exchange Rates,1,1,1,5,01-Aug-1960 | 01-Oct-1966 | 01-Dec-1972 | 01-Sep-1979 | 01-May-1986,5,01-Sep-1960 | 01-Nov-1966 | 01-Sep-1976 | 01-Nov-1982 | 01-Jun-1989,5,01-Aug-1960 | 01-Oct-1966 | 01-Sep-1976 | 01-Nov-1982 | 01-Jul-1989,5,01-Sep-1960 | 01-Nov-1966 | 01-Sep-1976 | 01-Nov-1982 | 01-Jun-1989,5,01-Aug-1960 | 01-Oct-1966 | 01-Sep-1979 | 01-May-1986 | 01-Sep-2003,5,01-Sep-1960 | 01-Nov-1966 | 01-Sep-1979 | 01-Mar-1988 | 01-Nov-2011
AAA,Interest and Exchange Rates,1,1,1,5,01-Feb-1963 | 01-Apr-1969 | 01-Oct-1976 | 01-Dec-1982 | 01-Jun-1989,5,01-Mar-1963 | 01-May-1969 | 01-Aug-1976 | 01-Oct-1982 | 01-Dec-1988,5,01-May-1966 | 01-Sep-1976 | 01-Nov-1982 | 01-Jan-1989 | 01-Jul-1997,5,01-Mar-1961 | 01-Jul-1968 | 01-Sep-1976 | 01-Nov-1982 | 01-Jan-1989,5,01-May-1966 | 01-Jul-1972 | 01-Aug-1979 | 01-Nov-1982 | 01-Jan-1989,5,01-Feb-1963 | 01-Feb-1966 | 01-Jul-1973 | 01-Sep-1979 | 01-Mar-1986
