series_name,include_main_full_ext,cvfull_found,cvfull_supw_stat,cvfull_break_date,cvfull_hac_lag,cvfull_mu1,cvfull_mu2,cvfull_ratio,cvfull_pct_change,cvfull_hansen_pval,cvfull_hansen_sig5
RPI,1,1,12.1381182876887,01-Apr-1970,6,0.0029763357382683,0.00577785682953606,1.94126514534202,94.1265145342018,0.00978955221398115,1
W875RX1,1,1,11.65849713976,01-Dec-1971,6,0.00292821403396103,0.00455467905553119,1.55544608512446,55.5446085124463,0.0122696573912231,1
DPCERA3M086SBEA,1,1,4.98807563352853,01-Mar-1987,6,0.00620051781195763,0.00438167608991685,0.706662930871167,-29.3337069128833,0.251091446195269,0
CMRMTSPLx,1,1,17.9940165200234,01-Dec-1980,6,0.0129717980192714,0.0084484737805357,0.651295507992362,-34.8704492007638,0.000594814316834835,1
RETAILx,1,1,2.0194350020551,01-Oct-1987,6,0.0125097653507356,0.0102417919914267,0.81870376496106,-18.129623503894,0.784363296946496,0
INDPRO,1,1,4.18758228254323,01-Apr-1983,6,0.00755386177879722,0.00599706244637157,0.793906828319867,-20.6093171680133,0.350249075442853,0
IPFPNSS,1,1,1.41175759652138,01-Jan-1984,6,0.00775192369933968,0.00668444195425781,0.86229460112297,-13.770539887703,0.929732116905329,0
IPFINAL,1,1,1.52044927496598,01-Oct-2014,6,0.00746890012896678,0.0109372769581348,1.46437584775254,46.4375847752543,0.905331526301624,0
IPCONGD,1,1,3.63156412880835,01-Jul-1975,6,0.0100761569425191,0.00810739546967682,0.804611868982054,-19.5388131017946,0.437820320742509,0
IPDCONGD,1,1,4.39305184584677,01-Dec-2007,6,0.018116398339576,0.0287955513386568,1.589474397665,58.9474397664998,0.321942603300263,0
IPNCONGD,1,1,1.87899978033845,01-Feb-2015,6,0.0068714458627893,0.00816001769103801,1.18752557379906,18.7525573799056,0.819009218207036,0
IPBUSEQ,1,1,2.1591544139586,01-Jul-2005,6,0.0104913692713258,0.0143873926521429,1.37135509008013,37.1355090080129,0.750046815399118,0
IPMAT,1,1,15.375712617602,01-Mar-1983,6,0.0103050301296716,0.00684399179064795,0.664140881154909,-33.5859118845091,0.00209849136848972,1
IPDMAT,1,1,15.248812491384,01-Jan-1983,6,0.0148215786167158,0.00952199016609893,0.642441025503182,-35.7558974496818,0.00223004331299481,1
IPNMAT,1,1,3.93936762602971,01-Jul-2005,6,0.00806875642636717,0.0112990662085478,1.40034791131191,40.0347911311906,0.387304570172413,0
IPMANSICS,1,1,4.1470906114344,01-Apr-1983,6,0.00845780653418425,0.00668589566038577,0.790499952128618,-20.9500047871382,0.356076600398892,0
IPB51222S,1,1,171.296754084334,01-Jun-1971,6,0.0121089537826297,0.0336444259902996,2.77847505195392,177.847505195392,0,1
