series_name,fred_group,include_main_hist,include_main_2007,include_main_full_ext,hist_uv_gamma,hist_uv_abrupt,hist_uv_smooth_mid,hist_uv_lag_mo,hist_cv_gamma,hist_cv_abrupt,hist_cv_smooth_mid,hist_cv_lag_mo,p2007_uv_gamma,p2007_uv_abrupt,p2007_uv_smooth_mid,p2007_uv_lag_mo,p2007_cv_gamma,p2007_cv_abrupt,p2007_cv_smooth_mid,p2007_cv_lag_mo,full_uv_gamma,full_uv_abrupt,full_uv_smooth_mid,full_uv_lag_mo,full_cv_gamma,full_cv_abrupt,full_cv_smooth_mid,full_cv_lag_mo
CES1021000001,Labor Market,1,1,1,100 | 100 | 100,1 | 1 | 1,01-Feb-1977 | 01-Jul-1978 | 01-Jan-1987,7 | -55 | -31,100,1,01-Sep-1983,-36,100 | 100,1 | 1,01-Apr-1987 | 01-Sep-2004,7 | 36,100 | 100 | 50,1 | 1 | 1,01-Feb-1987 | 01-May-1994 | 01-Apr-1997,5 | 2 | -51,,,,,100 | 100,1 | 1,01-Apr-1977 | 01-Aug-1982,29 | 10
USCONS,Labor Market,1,1,1,100 | 100 | 50,1 | 1 | 1,01-Aug-1984 | 01-Nov-1989 | 01-Oct-1991,12 | 1 | -4,100 | 100,1 | 1,01-Sep-1968 | 01-Dec-1983,3 | -3,100 | 100 | 20,1 | 1 | 1,01-Aug-1984 | 01-Oct-1989 | 01-Aug-1992,11 | -1 | -42,50,1,01-Feb-1983,-13,100,1,01-Apr-1984,-2,100,1,01-Aug-1983,-7
MANEMP,Labor Market,1,1,1,100,1,01-May-1984,1,100,1,01-Aug-1983,-1,100,1,01-May-1984,1,100 | 50,1 | 1,01-Jul-1983 | 01-Nov-1987,2 | -23,100,1,01-Apr-1984,0,100,1,01-Mar-1983,-2
DMANEMP,Labor Market,1,1,1,100 | 100 | 50,1 | 1 | 1,01-Jun-1984 | 01-May-1984 | 01-Sep-1991,19 | -63 | -4,100,1,01-Sep-1983,-2,100 | 100 | 100,1 | 1 | 1,01-Jun-1984 | 01-Sep-2000 | 01-Aug-2003,-1 | 39 | 0,100 | 100 | 50,1 | 1 | 1,01-Aug-1983 | 01-Feb-1998 | 01-Sep-1992,3 | 98 | -105,100,1,01-Apr-1984,0,100,1,01-May-1983,-4
NDMANEMP,Labor Market,1,1,1,100 | 10,1 | 0,01-Mar-1974 | 01-May-1978,-4 | -54,100 | 10,1 | 0,01-Apr-1974 | 01-Jul-1978,-5 | -49,100 | 10 | 100 | 100,1 | 0 | 1 | 1,01-Mar-1974 | 01-Feb-1978 | 01-Oct-2000 | 01-Jun-2000,-4 | -74 | 34 | -44,100 | 20,1 | 1,01-Apr-1974 | 01-Sep-1979,-5 | -35,,,,,,,,
SRVPRD,Labor Market,1,1,1,100,1,01-Sep-1992,6,100 | 100,1 | 1,01-Apr-1964 | 01-Jul-1991,-234 | 0,100,1,01-Mar-1985,4,100 | 100,1 | 1,01-Apr-1964 | 01-Aug-1991,-233 | 2,,,,,,,,
USTPU,Labor Market,1,1,1,100,1,01-Jan-1993,4,20,1,01-Jul-1965,-2,100 | 100 | 100 | 10,1 | 1 | 1 | 0,01-Dec-1984 | 01-Apr-1995 | 01-Dec-2000 | 01-Oct-2002,1 | 6 | 0 | -17,5,0,01-Oct-1966,13,,,,,,,,
USWTRADE,Labor Market,1,1,1,100,1,01-Oct-1993,7,5,0,01-Nov-1993,33,,,,,1,0,01-Oct-1982,25,,,,,,,,
USTRADE,Labor Market,1,1,1,20,1,01-Apr-1965,-329,10,0,01-Aug-1965,-29,20 | 100 | 100 | 100,1 | 1 | 1 | 1,01-Mar-1964 | 01-Aug-1992 | 01-Dec-2000 | 01-Jun-2003,-13 | -1 | 13 | -1,5,0,01-May-1967,-8,,,,,,,,
USFIRE,Labor Market,1,1,1,100,1,01-May-1966,-1,100 | 100,1 | 1,01-Jan-1966 | 01-Feb-1980,0 | -2,100,1,01-Jun-1966,1,,,,,,,,,,,,
USGOVT,Labor Market,1,1,1,50 | 100,1 | 1,01-Dec-1978 | 01-Jul-1983,143 | 12,100,1,01-Aug-1991,9,100,1,01-Mar-1983,8,100,1,01-Oct-1991,11,,,,,,,,
CES0600000007,Labor Market,1,1,1,100 | 100 | 100 | 50,1 | 1 | 1 | 1,01-Apr-1974 | 01-Jun-1983 | 01-May-1983 | 01-Jun-1993,1 | 32 | -45 | -1,100,1,01-Jan-1984,-2,100 | 100 | 100 | 50 | 100 | 20,1 | 1 | 1 | 1 | 1 | 1,01-Apr-1974 | 01-Jun-1983 | 01-May-1983 | 01-Jun-1993 | 01-Sep-2000 | 01-May-2001,1 | 32 | -45 | -1 | 6 | -60,100 | 100,1 | 1,01-Jan-1984 | 01-Apr-1993,-1 | 4,100 | 100 | 50 | 100 | 100 | 100 | 50 | 100,1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,01-Nov-1983 | 01-Sep-1991 | 01-Jul-1993 | 01-Jun-2000 | 01-Oct-2008 | 01-Oct-2008 | 01-Aug-2019 | 01-May-2022,4 | 1 | 4 | 13 | 39 | -36 | -8 | 0,,,,
AWOTMAN,Labor Market,1,1,1,,,,,,,,,100,1,01-May-1996,0,100,1,01-Jun-1996,1,,,,,,,,
AWHMAN,Labor Market,1,1,1,100 | 100 | 100 | 100 | 50,1 | 1 | 1 | 1 | 1,01-Oct-1979 | 01-Jul-1983 | 01-Jan-1987 | 01-Jul-1989 | 01-Jun-1993,60 | 1 | 2 | 2 | -2,100,1,01-Jan-1984,-2,100 | 100 | 100 | 100 | 50 | 100 | 100,1 | 1 | 1 | 1 | 1 | 1 | 1,01-Oct-1979 | 01-Jul-1983 | 01-Jan-1987 | 01-Jul-1989 | 01-Jun-1993 | 01-Sep-2000 | 01-Feb-2006,62 | 1 | 2 | 2 | -4 | 9 | 0,,,,,,,,,,,,
HOUST,Housing / Construction,1,1,1,100 | 100 | 50 | 100,1 | 1 | 1 | 1,01-Mar-1966 | 01-Dec-1970 | 01-Apr-1974 | 01-Sep-1993,25 | 1 | -102 | 1,20,1,01-Aug-1993,30,100 | 100 | 50,1 | 1 | 1,01-Oct-1970 | 01-Sep-1993 | 01-Dec-2002,-1 | 1 | 14,20 | 5 | 100,1 | 0 | 1,01-Mar-1993 | 01-Feb-2000 | 01-Dec-2001,25 | -1 | 0,100 | 100 | 100 | 50 | 100 | 20 | 20 | 100,1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,01-Nov-1970 | 01-Aug-1973 | 01-May-1987 | 01-May-2002 | 01-Sep-2008 | 01-Jul-2012 | 01-Dec-2014 | 01-Jul-2022,0 | -64 | 2 | 5 | 3 | -1 | -11 | -2,,,,
HOUSTNE,Housing / Construction,1,1,1,,,,,,,,,100,1,01-Apr-1998,6,100 | 100,1 | 1,01-Feb-1984 | 01-Dec-1991,-1 | 6,100 | 100 | 100 | 100 | 100 | 100 | 100 | 100,1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,01-Apr-1966 | 01-Apr-1974 | 01-Nov-1973 | 01-Oct-1984 | 01-Sep-1988 | 01-Aug-2008 | 01-Sep-2008 | 01-Oct-2020,0 | 36 | -45 | 0 | -36 | 23 | -50 | 15,100,1,01-Sep-2007,-7
HOUSTMW,Housing / Construction,1,1,1,100 | 100 | 50 | 100 | 100,1 | 1 | 1 | 1 | 1,01-Feb-1971 | 01-Apr-1981 | 01-Sep-1983 | 01-Feb-1992 | 01-Sep-1998,3 | 51 | -3 | 2 | 0,20,1,01-Oct-1991,8,100 | 100 | 50 | 100 | 100 | 10,1 | 1 | 1 | 1 | 1 | 0,01-Feb-1971 | 01-Mar-1981 | 01-Aug-1983 | 01-May-1990 | 01-Feb-1992 | 01-Sep-2005,3 | 50 | -27 | 42 | -14 | 47,100,1,01-Apr-1988,0,100 | 100 | 100 | 2 | 100 | 20 | 20 | 5,1 | 1 | 1 | 0 | 1 | 1 | 1 | 0,01-Jan-1971 | 01-Feb-1983 | 01-Jul-1993 | 01-Mar-1995 | 01-Mar-2006 | 01-Mar-2008 | 01-Jan-2013 | 01-Aug-2014,-1 | 2 | 22 | -32 | 1 | 4 | 5 | -57,20 | 20 | 50,1 | 1 | 1,01-Mar-1992 | 01-Sep-2001 | 01-Mar-2007,12 | 20 | 2
HOUSTS,Housing / Construction,1,1,1,100 | 100,1 | 1,01-May-1992 | 01-May-1998,3 | 1,100,1,01-Mar-1984,0,,,,,100,1,01-Apr-1984,1,,,,,,,,
HOUSTW,Housing / Construction,1,1,1,100 | 100 | 100 | 10 | 100,1 | 1 | 1 | 0 | 1,01-Apr-1965 | 01-Nov-1986 | 01-Apr-1987 | 01-Aug-1992 | 01-Oct-1997,-1 | 48 | -41 | -11 | 0,100,1,01-Sep-1984,-4,100 | 100 | 100 | 20 | 100,1 | 1 | 1 | 1 | 1,01-Feb-1965 | 01-Feb-1983 | 01-Sep-1990 | 01-Nov-1992 | 01-Oct-2002,-2 | 3 | 0 | -11 | 12,,,,,100 | 100 | 1 | 100 | 50 | 100 | 20 | 20,1 | 1 | 0 | 1 | 1 | 1 | 1 | 1,01-Aug-1962 | 01-Sep-1976 | 01-Mar-1979 | 01-Jan-1992 | 01-Jun-2002 | 01-Jul-2008 | 01-Jul-2012 | 01-Sep-2015,-34 | 1 | -96 | -16 | 2 | 1 | -16 | -2,100,1,01-Mar-2008,-2
PERMIT,Housing / Construction,1,1,1,50 | 100 | 100 | 100 | 100,1 | 1 | 1 | 1 | 1,01-Aug-1961 | 01-Feb-1971 | 01-Sep-1975 | 01-Mar-1987 | 01-Jun-1993,0 | 20 | 1 | 0 | 0,100 | 100,1 | 1,01-Nov-1965 | 01-Jul-1991,-4 | 4,,,,,100 | 100,1 | 1,01-Oct-1965 | 01-Jul-1991,-5 | 4,50 | 100 | 100 | 20 | 5 | 100 | 100,1 | 1 | 1 | 1 | 0 | 1 | 1,01-Jun-1999 | 01-Aug-2006 | 01-Aug-2008 | 01-May-2012 | 01-Jul-2014 | 01-Jul-2020 | 01-Oct-2022,-10 | 2 | 0 | -9 | -6 | 12 | -17,100 | 100 | 100,1 | 1 | 1,01-Dec-1965 | 01-Sep-1991 | 01-Jan-2007,-4 | 5 | -3
PERMITNE,Housing / Construction,1,1,1,,,,,100,1,01-Jul-1984,-6,100,1,01-Nov-1997,0,100,1,01-Sep-1984,-4,100 | 100 | 100 | 20 | 100 | 100 | 100 | 10,1 | 1 | 1 | 1 | 1 | 1 | 1 | 0,01-Mar-1971 | 01-Nov-1973 | 01-Mar-1980 | 01-Mar-1993 | 01-May-2008 | 01-Jul-2008 | 01-Jul-2016 | 01-Mar-2018,44 | 2 | 1 | 5 | 14 | -58 | 6 | -6,100 | 100,1 | 1,01-Jan-1985 | 01-Jul-2007,-1 | -7
