window,measure,n_series,share_0b,share_1b,share_2b_plus,share_3b_plus,med_breaks,max_breaks_obs,n_at_cap,cap_flag
hist,UV,122,0.163934426229508,0.336065573770492,0.5,0.30327868852459,1.5,5,17,FLAGGED:17@cap5
hist,CV,122,0.155737704918033,0.39344262295082,0.450819672131148,0.229508196721311,1,5,14,FLAGGED:14@cap5
2007,UV,123,0.146341463414634,0.292682926829268,0.560975609756098,0.349593495934959,2,5,19,FLAGGED:19@cap5
2007,CV,123,0.16260162601626,0.300813008130081,0.536585365853659,0.292682926829268,2,5,14,FLAGGED:14@cap5
full,UV,123,0.349593495934959,0.178861788617886,0.471544715447154,0.341463414634146,1,5,32,FLAGGED:32@cap5
full,CV,123,0.365853658536585,0.170731707317073,0.463414634146341,0.357723577235772,1,5,18,FLAGGED:18@cap5
modern,UV,126,0.634920634920635,0.126984126984127,0.238095238095238,0.182539682539683,0,5,11,FLAGGED:11@cap5
modern,CV,126,0.571428571428571,0.23015873015873,0.198412698412698,0.103174603174603,0,5,6,FLAGGED:6@cap5
