series_name,include_main_mod,uvmod_break_found,uvmod_break_date,uvmod_mu1,uvmod_mu2,uvmod_delta,uvmod_ratio_break,uvmod_pct_change_break,uvmod_ssr_nobreak,uvmod_ssr_best,uvmod_ssr_gain_pct,uvmod_supw_found,uvmod_supw_stat,uvmod_supw_hac_lag,uvmod_supw_break_date,uvmod_supw_mu1,uvmod_supw_mu2,uvmod_supw_ratio,uvmod_supw_pct_change,uvmod_hansen_pval,uvmod_hansen_sig5
RPI,1,1,01-Feb-2020,0.00420165740151505,0.0158915200312846,0.0116898626297695,3.78220271494633,278.220271494633,0.13848517355182,0.130986135422112,5.4150476454445,1,4.53355299938545,5,01-Sep-2021,0.00750713407209037,0.00255254471557002,0.34001586904645,-65.998413095355,0.303766396814681,0
W875RX1,1,1,01-Oct-2004,0.00313185287271074,0.00520772065152932,0.00207586777881858,1.6628241693301,66.28241693301,0.0211642602272924,0.0209277847436975,1.11733403887146,1,5.74168151494208,5,01-May-2021,0.00513447874033715,0.00292392664413645,0.569469033178712,-43.0530966821288,0.181836602988308,0
DPCERA3M086SBEA,1,1,01-Jan-2020,0.00313597864920469,0.0100112061893816,0.00687522754017687,3.19237064701333,219.237064701333,0.045722013643907,0.0431013697450251,5.73168959550218,1,2.08065755372513,5,01-Oct-2021,0.0049553293351489,0.00292875999728159,0.591032361160631,-40.8967638839369,0.769290067556276,0
CMRMTSPLx,1,1,01-Feb-2020,0.00712678500347026,0.0138011009789959,0.0066743159755256,1.93651148060109,93.6511480601092,0.0546318325172226,0.0522147370085307,4.42433540542499,1,2.19691280086784,5,01-May-2021,0.00893513736214081,0.00664680385215336,0.743894982556913,-25.6105017443087,0.740835713421127,0
RETAILx,1,1,01-Feb-2020,0.00849427920656235,0.0205888237166759,0.0120945445101135,2.4238458868611,142.38458868611,0.140788237180326,0.132761005813633,5.70163497140146,1,2.45230965519559,5,01-Apr-2020,0.00968946244745154,0.016445032236567,1.6972079024768,69.7207902476804,0.679651897529442,0
INDPRO,1,1,01-Feb-2020,0.00567367236285767,0.0115361124326738,0.0058624400698161,2.03327081559982,103.327081559982,0.0503805608461144,0.0484734956669735,3.78531947067036,1,4.15529819618807,5,01-Jan-2004,0.00475528806848796,0.00746251587389364,1.56930889704575,56.9308897045745,0.354888624340391,0
IPFPNSS,1,1,01-Feb-2020,0.00568992319986799,0.0119469636926093,0.00625704049274135,2.09967046530374,109.967046530374,0.0512424491141983,0.0490700148926745,4.23952066904985,1,3.69859394642626,5,01-Jun-2003,0.00478483428655122,0.00750957145191132,1.56945277562037,56.9452775620368,0.426377939765704,0
IPFINAL,1,1,01-Oct-2019,0.00656002439683902,0.0134893126778704,0.00692928828103136,2.05629001690455,105.629001690455,0.0624513744371812,0.0596812762017021,4.43560811982698,1,3.99149935841075,5,01-Jun-2003,0.00549013680695839,0.00869091203865048,1.58300463981796,58.3004639817958,0.379254977815277,0
IPCONGD,1,1,01-Oct-2019,0.00693304938990507,0.0130787955938024,0.00614574620389728,1.88644200528066,88.6442005280656,0.0487178635511151,0.0465388137586506,4.4727942352772,1,2.79235066162981,5,01-Feb-2008,0.0064287639629343,0.00933492084227289,1.45205530893564,45.2055308935642,0.602353085643466,0
IPDCONGD,1,1,01-Sep-2019,0.0175200738861361,0.0439063619584661,0.02638628807233,2.50606031936942,150.606031936942,0.753710552579847,0.713170325455485,5.37875275669136,1,6.16393033792277,5,01-Jun-2003,0.0124122314269299,0.0259377173779967,2.08969011983789,108.969011983789,0.151283601006344,0
IPNCONGD,1,1,01-Feb-2015,0.00660479233933206,0.00832577158383207,0.00172097924450001,1.26056523143831,26.0565231438306,0.0136164036858676,0.0133848024194127,1.70089894364146,1,3.22051390442547,5,01-Feb-2003,0.00894657415207546,0.00699882575894054,0.782291147423947,-21.7708852576053,0.513493996236834,0
IPBUSEQ,1,1,01-Dec-2019,0.010567071614969,0.0216370508594842,0.0110699792445152,2.04759195810065,104.759195810065,0.168405787120967,0.161469394730322,4.11885631083609,1,5.70334318871049,5,01-Jun-2004,0.00787030602741637,0.0143743882699037,1.8264077940337,82.6407794033702,0.184880131916795,0
IPMAT,1,1,01-Feb-2020,0.00689992828822727,0.0126278496778883,0.00572792138966099,1.83014216240972,83.014216240972,0.0576988420442161,0.0558782912415465,3.15526401946587,1,5.14712411327433,5,01-Aug-2005,0.00561056255892803,0.00898087390867571,1.60070827378701,60.0708273787011,0.234716464257048,0
