series_name,include_main_hist,uv_mb_nbreaks_hist,uv_mb_break_dates_hist,uv_mb_break_stats_hist,uv_mb_break_pvals_hist,cv_mb_nbreaks_hist,cv_mb_break_dates_hist,cv_mb_break_stats_hist,cv_mb_break_pvals_hist
EXJPUSx,1,2,01-Jul-1971 | 01-Sep-1977,24.256 | 18.42,1e-06 | 1.8e-05,2,01-Aug-1971 | 01-Feb-1978,31.047 | 20.741,0 | 5e-06
EXUSUKx,1,4,01-Apr-1966 | 01-Jun-1972 | 01-Jun-1984 | 01-Apr-1993,3.774 | 36.149 | 11.725 | 41.643,0.052066 | 0 | 0.000617 | 0,3,01-May-1972 | 01-Jun-1984 | 01-Apr-1993,109.238 | 13.489 | 29.802,0 | 0.00024 | 0
EXCAUSx,1,1,01-Mar-1975,75.516,0,1,01-Mar-1975,84.45,0
WPSFD49207,1,1,01-Apr-1975,5.863,0.015462,1,01-Feb-1992,10.888,0.000968
WPSFD49502,1,1,01-Apr-1975,6.705,0.009612,1,01-Feb-1992,9.868,0.001682
WPSID61,1,2,01-Nov-1972 | 01-Jan-1979,6.016 | 5.097,0.014178 | 0.023966,4,01-Jan-1962 | 01-Apr-1963 | 01-Aug-1971 | 01-Nov-1977,30.864 | 17.436 | 10.495 | 6.209,0 | 0.000779 | 0.001197 | 0.012711
WPSID62,1,2,01-Mar-1973 | 01-Apr-1990,4.347 | 5.071,0.037077 | 0.024326,5,01-Feb-1966 | 01-Oct-1971 | 01-Oct-1972 | 01-Oct-1978 | 01-May-1990,2.424 | 12.416 | 11.934 | 11.229 | 18.371,0.11948 | 0.000426 | 0.010778 | 0.000806 | 1.8e-05
OILPRICEx,1,1,01-Jul-1973,69.43,0,2,01-Feb-1969 | 01-Nov-1985,33.712 | 26.498,0 | 0
PPICMM,1,1,01-Sep-1967,55.154,0,1,01-Sep-1967,52.007,0
CPIAUCSL,1,1,01-Nov-1990,9.315,0.002273,2,01-Dec-1972 | 01-Apr-1983,16.129 | 14.076,5.9e-05 | 0.000176
CPIAPPSL,1,2,01-Jan-1984 | 01-Apr-1990,10.8 | 0.608,0.001015 | 0.43557,2,01-Jan-1974 | 01-Jun-1986,11.959 | 21.651,0.000544 | 3e-06
CPITRNSL,1,0,,,,0,,,
CPIMEDSL,1,4,01-Apr-1978 | 01-Jun-1984 | 01-Dec-1985 | 01-Sep-1993,21.493 | 20.988 | 9.654 | 9.802,4e-06 | 5e-06 | 0.001889 | 0.001743,2,01-Apr-1983 | 01-Aug-1993,62.723 | 15.198,0 | 9.7e-05
CUSR0000SAC,1,0,,,,0,,,
CUSR0000SAD,1,1,01-May-1987,22.755,2e-06,2,01-Mar-1988 | 01-Dec-1996,45.976 | 3.742,0 | 0.05305
CUSR0000SAS,1,2,01-May-1983 | 01-Apr-1993,43.37 | 6.967,0 | 0.008303,2,01-Apr-1983 | 01-Apr-1993,26.885 | 6.586,0 | 0.010277
CPIULFSL,1,1,01-Nov-1990,16.053,6.2e-05,1,01-Mar-1991,15.953,6.5e-05
CUSR0000SA0L2,1,0,,,,2,01-Dec-1972 | 01-Jan-1987,7.77 | 14.48,0.005312 | 0.000142
CUSR0000SA0L5,1,1,01-Feb-1991,18.694,1.5e-05,3,01-Dec-1972 | 01-Apr-1983 | 01-Mar-1991,16.769 | 8.718 | 7.205,4.2e-05 | 0.00315 | 0.007271
PCEPI,1,3,01-Jun-1972 | 01-Jun-1991 | 01-May-1998,17.997 | 29.311 | 19.244,2.2e-05 | 0 | 1.2e-05,3,01-Aug-1972 | 01-Feb-1984 | 01-May-1991,23.733 | 1.389 | 17.589,1e-06 | 0.23858 | 2.7e-05
DDURRG3M086SBEA,1,0,,,,0,,,
DNDGRG3M086SBEA,1,1,01-Feb-1973,10.308,0.001325,2,01-Dec-1972 | 01-Nov-1991,19.449 | 12.118,1e-05 | 0.000499
DSERRG3M086SBEA,1,5,01-Jul-1965 | 01-Jul-1972 | 01-Sep-1978 | 01-Jul-1986 | 01-Jun-1993,2.312 | 13.91 | 29.417 | 20.264 | 3.471,0.12842 | 0.000192 | 0 | 7e-06 | 0.062449,5,01-Aug-1972 | 01-Sep-1978 | 01-Dec-1986 | 01-Feb-1990 | 01-Apr-1994,23.728 | 24.884 | 86.312 | 17.663 | 12.602,1e-06 | 1e-06 | 0 | 2.6e-05 | 0.000385
CES0600000008,1,1,01-Jun-1982,16.052,6.2e-05,1,01-May-1983,21.392,4e-06
CES2000000008,1,1,01-Aug-1965,9.392,0.002179,1,01-Apr-1988,35.536,0
CES3000000008,1,1,01-Mar-1982,20.574,6e-06,1,01-Mar-1983,23.728,1e-06
UMCSENTx,0,NaN,,,,NaN,,,
DTCOLNVHFNM,1,2,01-Aug-1966 | 01-Sep-1976,6.111 | 25.246,0.013432 | 1e-06,1,01-Sep-1976,41.594,0
DTCTHFNM,1,2,01-Nov-1966 | 01-Dec-1974,2.044 | 11.462,0.1528 | 0.00071,3,01-Dec-1967 | 01-May-1975 | 01-Feb-1987,4.544 | 19.152 | 11.441,0.033032 | 1.2e-05 | 0.000719
INVEST,1,2,01-Oct-1978 | 01-Oct-1993,64.583 | 11.146,0 | 0.000842,1,01-Jan-1977,21.957,3e-06
VIXCLSx,1,0,,,,0,,,
