series_name,include_main_mod,include_cv_mod,uvmod_mb_nbreaks,uvmod_mb_break_dates,uvmod_mb_break_stats,uvmod_mb_break_pvals,cvmod_mb_nbreaks,cvmod_mb_break_dates,cvmod_mb_break_stats,cvmod_mb_break_pvals
REALLN,1,1,3,01-Jul-2006 | 01-Feb-2013 | 01-Oct-2019,2.083 | 13.236 | 0.456,0.14896 | 0.000275 | 0.49943,5,01-Jul-2006 | 01-Jul-2013 | 01-Nov-2015 | 01-Oct-2019 | 01-Sep-2023,1.876 | 15.385 | 8.833 | 13.815 | 21.568,0.17082 | 8.8e-05 | 0.002958 | 0.000202 | 3e-06
NONREVSL,1,1,0,,,,0,,,
CONSPI,1,1,0,,,,1,01-Nov-2019,1.628,0.20205
S&P 500,1,1,0,,,,0,,,
S&P div yield,1,1,0,,,,0,,,
S&P PE ratio,1,1,0,,,,0,,,
FEDFUNDS,1,1,0,,,,2,01-Mar-2009 | 01-Nov-2016,36.633 | 17.123,0 | 3.5e-05
CP3Mx,1,1,0,,,,3,01-Jul-2005 | 01-Sep-2011 | 01-Dec-2017,0.02 | 4.869 | 10.991,0.88853 | 0.027336 | 0.000915
TB3MS,1,1,4,01-Jun-2007 | 01-Feb-2009 | 01-Apr-2014 | 01-Jul-2015,20.181 | 54.374 | 23.639 | 15.094,7e-06 | 0 | 1e-06 | 0.002401,5,01-Mar-2002 | 01-Jun-2007 | 01-Mar-2009 | 01-Apr-2014 | 01-Jul-2015,12.04 | 43.225 | 74.565 | 28.171 | 13.561,0.000521 | 0 | 0 | 0 | 0.004991
TB6MS,1,1,5,01-Mar-2006 | 01-Jul-2007 | 01-Feb-2009 | 01-Jun-2010 | 01-May-2019,9.727 | 30.639 | 43.535 | 18.437 | 7.776,0.001816 | 0 | 0 | 0.00048 | 0.005296,4,01-Apr-2002 | 01-Jul-2007 | 01-Feb-2009 | 01-May-2019,18.976 | 85.418 | 14.304 | 10.27,1.3e-05 | 0 | 0.003503 | 0.001352
GS1,1,1,5,01-Feb-2006 | 01-Jul-2007 | 01-Feb-2009 | 01-Aug-2010 | 01-May-2019,11.807 | 35.265 | 50.754 | 23.673 | 12.177,0.00059 | 0 | 0 | 3.7e-05 | 0.000484,5,01-Feb-2006 | 01-Jul-2007 | 01-Feb-2009 | 01-Oct-2011 | 01-May-2019,17.39 | 54.107 | 83.558 | 0.845 | 15.628,3e-05 | 0 | 0 | 0.35796 | 7.7e-05
GS5,1,1,2,01-Aug-2011 | 01-May-2019,36.317 | 6.85,0 | 0.008864,4,01-Apr-2005 | 01-Aug-2011 | 01-Mar-2020 | 01-Dec-2021,0.031 | 13.661 | 13.624 | 27.905,0.86092 | 0.000219 | 0.000223 | 0
GS10,1,1,0,,,,0,,,
AAA,1,1,0,,,,0,,,
BAA,1,1,0,,,,0,,,
COMPAPFFx,1,1,0,,,,0,,,
TB3SMFFM,1,1,0,,,,5,01-Dec-2001 | 01-Apr-2007 | 01-Feb-2009 | 01-Mar-2015 | 01-Nov-2016,17.824 | 20.249 | 41.924 | 14.342 | 8.904,2.4e-05 | 7e-06 | 0 | 0.000152 | 0.002846
TB6SMFFM,1,1,0,,,,4,01-Mar-2002 | 01-Jul-2007 | 01-Feb-2009 | 01-Jul-2015,14.183 | 22.744 | 50.028 | 32.689,0.000166 | 2e-06 | 0 | 0
T1YFFM,1,1,0,,,,5,01-Jul-2007 | 01-Feb-2009 | 01-Jul-2015 | 01-Jul-2020 | 01-Nov-2021,13.564 | 60.316 | 46.57 | 50.895 | 44.717,0.000231 | 0 | 0 | 0 | 0
T5YFFM,1,1,4,01-Feb-2005 | 01-May-2013 | 01-Dec-2014 | 01-Dec-2021,1.005 | 0.276 | 11.426 | 31.631,0.31604 | 0.59944 | 0.000724 | 0,1,01-Aug-2011,12.41,0.000427
T10YFFM,1,1,0,,,,1,01-Jun-2009,11.689,0.000629
AAAFFM,1,1,0,,,,0,,,
BAAFFM,1,1,0,,,,0,,,
TWEXAFEGSMTHx,1,1,1,01-Apr-2011,8.658,0.003256,0,,,
EXSZUSx,1,1,1,01-Dec-2011,23.211,1e-06,1,01-Dec-2011,17.025,3.7e-05
EXJPUSx,1,1,0,,,,0,,,
EXUSUKx,1,1,0,,,,0,,,
EXCAUSx,1,1,2,01-Mar-2007 | 01-Jun-2018,4.546 | 13.379,0.033001 | 0.000255,2,01-Mar-2007 | 01-Jun-2018,3.564 | 11.163,0.059041 | 0.000835
WPSFD49207,1,1,0,,,,1,01-Aug-2005,12.6,0.000386
WPSFD49502,1,1,0,,,,1,01-Aug-2005,14.743,0.000123
WPSID61,1,1,1,01-Aug-2005,5.106,0.023846,0,,,
WPSID62,1,1,3,01-Mar-2010 | 01-Nov-2016 | 01-Jul-2023,23.14 | 14.004 | 10.198,2e-06 | 0.000182 | 0.001406,0,,,
OILPRICEx,1,1,0,,,,0,,,
PPICMM,1,1,0,,,,4,01-Sep-2005 | 01-Oct-2010 | 01-Nov-2012 | 01-Nov-2019,19.246 | 8.922 | 10.321 | 10.898,1.1e-05 | 0.002817 | 0.001315 | 0.000963
CPIAUCSL,1,1,3,01-Jun-2005 | 01-Aug-2011 | 01-Apr-2019,2.79 | 6.697 | 0.764,0.094863 | 0.009656 | 0.38207,0,,,
CPIAPPSL,1,1,1,01-Apr-2018,3.731,0.053396,1,01-Jan-2018,6.677,0.009766
CPITRNSL,1,1,0,,,,0,,,
CPIMEDSL,1,1,2,01-Jul-2005 | 01-Feb-2013,0.384 | 11.995,0.53549 | 0.000534,3,01-Sep-2001 | 01-Mar-2004 | 01-May-2013,27.531 | 13.502 | 24.862,0 | 0.000238 | 1e-06
CUSR0000SAC,1,1,0,,,,0,,,
CUSR0000SAD,1,1,1,01-Sep-2017,13.149,0.000288,1,01-Jan-2018,14.548,0.000137
CUSR0000SAS,1,1,2,01-Feb-2006 | 01-Aug-2019,15.457 | 20.988,8.4e-05 | 5e-06,2,01-Jun-2010 | 01-Nov-2019,15.374 | 23.119,8.8e-05 | 2e-06
CPIULFSL,1,1,3,01-Jun-2005 | 01-Aug-2011 | 01-Oct-2018,2.45 | 6.695 | 0.866,0.11754 | 0.009667 | 0.35201,0,,,
CUSR0000SA0L2,1,1,3,01-Jun-2005 | 01-Aug-2011 | 01-Oct-2018,3.647 | 7.489 | 0.472,0.056164 | 0.006207 | 0.49199,0,,,
CUSR0000SA0L5,1,1,3,01-Jun-2005 | 01-Aug-2011 | 01-Oct-2018,2.5 | 6.408 | 0.845,0.11385 | 0.011364 | 0.35803,0,,,
PCEPI,1,1,0,,,,0,,,
DDURRG3M086SBEA,1,1,1,01-Mar-2016,28.292,0,2,01-Mar-2013 | 01-Jun-2019,1 | 10.046,0.31726 | 0.001527
DNDGRG3M086SBEA,1,1,1,01-Aug-2009,10.136,0.001454,0,,,
DSERRG3M086SBEA,1,1,0,,,,0,,,
CES0600000008,1,1,0,,,,0,,,
CES2000000008,1,1,0,,,,2,01-Oct-2008 | 01-Oct-2017,18.156 | 8.458,2e-05 | 0.003634
CES3000000008,1,1,1,01-Nov-2019,11.743,0.000611,0,,,
UMCSENTx,1,1,0,,,,0,,,
DTCOLNVHFNM,1,1,2,01-Jan-2011 | 01-Oct-2019,15.909 | 0.383,6.6e-05 | 0.53617,2,01-Mar-2011 | 01-May-2017,14.054 | 0.253,0.000178 | 0.61528
DTCTHFNM,1,1,0,,,,1,01-Jul-2016,2.239,0.13453
INVEST,1,1,1,01-Jul-2009,9.87,0.00168,2,01-Nov-2001 | 01-Dec-2010,8.769 | 13.771,0.003063 | 0.000207
VIXCLSx,1,1,1,01-Jun-2009,4.814,0.028229,0,,,
