series_name,include_main_2007,cvexp2007_found,cvexp2007_stat,cvexp2007_break_date,cvexp2007_hac_lag,cvexp2007_mu1,cvexp2007_mu2,cvexp2007_ratio,cvexp2007_pct_change,cvexp2007_nobs_exp,cvexp2007_pval,cvexp2007_sig5
RPI,1,1,4.21042814176297,01-May-1971,5,0.00286773065804491,0.0038069941162038,1.32752847814489,32.7528478144885,510,0.34699782298884,0
W875RX1,1,1,8.72208437469676,01-Nov-1971,5,0.00265476340027919,0.00400039364629249,1.50687388784695,50.6873887846952,511,0.0479835522414629,1
DPCERA3M086SBEA,1,1,45.7773808817055,01-Apr-1988,5,0.00580278760048486,0.00327011757373192,0.563542524537462,-43.6457475462538,510,6.55927645532017e-10,1
CMRMTSPLx,1,1,35.7276770081259,01-Aug-1992,5,0.0110447587136254,0.00689936325028566,0.624673062506492,-37.5326937493508,505,9.77636102073021e-08,1
RETAILx,1,1,17.7694361790866,01-Nov-1987,5,0.0118246048241638,0.00825372320015978,0.698012603625717,-30.1987396374283,509,0.000663020916608525,1
INDPRO,1,1,23.2162172286918,01-Feb-1984,5,0.00680983525893695,0.00454951363115248,0.668079837200449,-33.1920162799551,499,4.68472581214296e-05,1
IPFPNSS,1,1,19.6486900775055,01-Jan-2000,5,0.00622781784508369,0.00433910854916695,0.696730164096288,-30.3269835903712,508,0.000266755757285519,1
IPFINAL,1,1,19.6694677142852,01-Oct-1999,5,0.00699661601645559,0.00482513489274097,0.689638373950002,-31.0361626049998,508,0.000264077340658697,1
IPCONGD,1,1,13.8426029879235,01-Oct-2000,5,0.00810881082015541,0.00605167500851716,0.746308570114252,-25.3691429885748,511,0.00436485299340583,1
IPDCONGD,1,1,10.0608230468652,01-Dec-2000,5,0.0175832714587228,0.0125553233145985,0.714049336272402,-28.5950663727598,500,0.0258843227106902,1
IPNCONGD,1,1,2.63701968603551,01-Jan-1976,5,0.00753895751444989,0.00655679277670472,0.86972141229571,-13.027858770429,510,0.636987136736631,0
IPBUSEQ,1,1,12.929504264222,01-Dec-1982,5,0.0107896582760223,0.00772618611396804,0.716073291323586,-28.3926708676414,508,0.00673448129198206,1
IPMAT,1,1,28.1634920365069,01-Jan-1984,5,0.00873366458037477,0.00534650946945097,0.612172521654312,-38.7827478345688,499,4.124714627185e-06,1
IPDMAT,1,1,30.8945037324365,01-Feb-1984,5,0.0132830055409357,0.00744437920683931,0.560443883268522,-43.9556116731478,499,1.07147778716232e-06,1
IPNMAT,1,1,16.6091379977881,01-Jun-1968,5,0.0113380506850453,0.00696193429479079,0.614032737035956,-38.5967262964044,509,0.00116034287204447,1
IPMANSICS,1,1,27.3248033775714,01-Jan-1984,5,0.00771567384910473,0.00513422613391756,0.665428092779388,-33.4571907220612,499,6.23452224290943e-06,1
IPB51222S,1,1,119.47425861709,01-Feb-1967,5,0.011174419815585,0.0281087621936852,2.51545607356562,151.545607356562,506,0,1
IPFUELS,1,1,5.6195133572095,01-Nov-1986,5,0.0182694376789544,0.0145996738262161,0.799130990388079,-20.0869009611921,509,0.191701586652317,0
CUMFNS,1,1,31.0192625493802,01-Sep-1983,5,0.634556089545722,0.412262030361381,0.649685720700465,-35.0314279299535,499,1.00739500863423e-06,1
HWI,1,1,59.8210418925001,01-Sep-1968,5,55.586669355542,115.436782956437,2.07669904124104,107.669904124104,499,5.79980508064182e-13,1
HWIURATIO,1,1,6.16715526000683,01-Nov-1973,5,0.0326789164788132,0.0239050480639029,0.73151287250914,-26.848712749086,508,0.151070056204672,0
CLF16OV,1,1,33.0001135791224,01-Oct-1983,5,0.00309680346984492,0.00185279289761192,0.598292050384685,-40.1707949615315,510,3.78024981317893e-07,1
CE16OV,1,1,16.6431857620391,01-Feb-1986,5,0.00309324516421197,0.00212580802662263,0.687242010823348,-31.2757989176652,507,0.00114147676683796,1
UNRATE,1,1,15.2234546808277,01-Jun-1998,5,0.155437016794966,0.116591948917771,0.750091267330261,-24.9908732669739,507,0.00225729482303871,1
UEMPMEAN,1,1,6.98866105916329,01-Nov-1966,5,0.612467533738434,0.41722471715266,0.681219320485392,-31.8780679514608,504,0.105065942198275,0
UEMPLT5,1,1,15.6363636765532,01-Mar-1971,5,0.0540674884252542,0.0364850825811775,0.674806314179295,-32.5193685820705,509,0.0018519443848416,1
UEMP5TO14,1,1,14.4388321582978,01-Dec-1983,5,0.0573512224342223,0.0414233716068332,0.722275303797453,-27.7724696202547,509,0.00328496691119096,1
UEMP15OV,1,1,12.6120909265374,01-Apr-1971,5,0.0607066785104472,0.042324668632897,0.697199544949791,-30.2800455050209,507,0.00782627815111137,1
UEMP15T26,1,1,18.7195067685798,01-Jun-1998,5,0.0762063539035417,0.051764965793458,0.679273618824219,-32.0726381175781,507,0.00041867154347941,1
UEMP27OV,1,1,27.2538846013673,01-Aug-1979,5,0.08050738243018,0.0494378314259215,0.614078236474728,-38.5921763525272,504,6.45602544413482e-06,1
CLAIMSx,1,1,14.0244221806032,01-Apr-1985,5,0.0529872245742914,0.0380274109379634,0.717671311216661,-28.2328688783339,511,0.00400279996916642,1
PAYEMS,1,1,60.6381888114162,01-Aug-1983,5,0.00178314921032,0.000903367351391079,0.506613437710556,-49.3386562289444,501,3.84803300335079e-13,1
USGOOD,1,1,51.7520735906607,01-Mar-1984,5,0.00365514661778875,0.00173954410836349,0.475916369509647,-52.4083630490353,501,3.30862004460641e-11,1
CES1021000001,1,1,14.3339916418503,01-Mar-1994,5,0.0125214992124493,0.00505493428088835,0.403700403212304,-59.6299596787696,511,0.00345351303343999,1
USCONS,1,1,62.9721300264244,01-Mar-1984,5,0.0102210327668269,0.00418484176663401,0.409434336245962,-59.0565663754038,506,1.19237952844742e-13,1
MANEMP,1,1,29.8796240130417,01-Oct-1983,5,0.00333920330144903,0.00146244346677267,0.437961793502676,-56.2038206497324,501,1.76901808079943e-06,1
DMANEMP,1,1,24.1664006384834,01-Oct-1983,5,0.00463727318681318,0.00192988830231609,0.416168775176764,-58.3831224823236,501,2.94179618894885e-05,1
NDMANEMP,1,1,25.3672170085914,01-Oct-1980,5,0.00253410416425295,0.00148404517964723,0.585629115243857,-41.4370884756143,509,1.63228410231531e-05,1
SRVPRD,1,1,25.1419342787861,01-Aug-1983,5,0.00138351611556355,0.000889312417682684,0.642791513361185,-35.7208486638815,507,1.82316062523613e-05,1
USTPU,1,1,24.8204963738053,01-Sep-1997,5,0.00178637481571656,0.00109465400251206,0.612779576201629,-38.7220423798371,507,2.13464523606266e-05,1
USWTRADE,1,1,13.2139563784511,01-Mar-1990,5,0.00168291863396482,0.00119417854595856,0.709587808856317,-29.0412191143683,504,0.00588478243816792,1
USTRADE,1,1,23.409588618561,01-May-1991,5,0.0023862632722398,0.0014928134874383,0.62558624809119,-37.4413751908809,499,4.2617423465674e-05,1
USFIRE,1,1,6.96335053008413,01-May-1968,5,0.000831528161905438,0.00107276842513721,1.29011676847959,29.0116768479587,508,0.106257853811431,0
USGOVT,1,1,11.5398115082971,01-Aug-2000,5,0.00197811754132719,0.00129761389019344,0.655984218876514,-34.4015781123486,500,0.0129733390510941,1
CES0600000007,1,1,4.10349912890813,01-Feb-1984,5,0.216769962881307,0.175499332863878,0.809610937470951,-19.0389062529049,508,0.362443931222412,0
