series_name,include_main_hist,include_main_2007,include_main_full_ext,uv_mb_nbreaks_hist,uv_mb_break_dates_hist,uv_mb_break_stats_hist,uv_mb_break_pvals_hist,cv_mb_nbreaks_hist,cv_mb_break_dates_hist,cv_mb_break_stats_hist,cv_mb_break_pvals_hist,uv2007_mb_nbreaks,uv2007_mb_break_dates,uv2007_mb_break_stats,uv2007_mb_break_pvals,cv2007_mb_nbreaks,cv2007_mb_break_dates,cv2007_mb_break_stats,cv2007_mb_break_pvals,uvfull_mb_nbreaks,uvfull_mb_break_dates,uvfull_mb_break_stats,uvfull_mb_break_pvals,cvfull_mb_nbreaks,cvfull_mb_break_dates,cvfull_mb_break_stats,cvfull_mb_break_pvals
OILPRICEx,1,1,1,1,01-Jul-1973,69.43,0,2,01-Feb-1969 | 01-Nov-1985,33.712 | 26.498,0 | 0,2,01-Jul-1973 | 01-Nov-1985,11.951 | 10.295,0.000546 | 0.001334,2,01-Feb-1969 | 01-Nov-1985,36.319 | 47.376,0 | 0,2,01-Jul-1973 | 01-Nov-1985,11.958 | 11.315,0.000544 | 0.000769,3,01-Feb-1969 | 01-Jan-1979 | 01-Nov-1985,14.816 | 3.128 | 50.111,0.000119 | 0.076972 | 0
PPICMM,1,1,1,1,01-Sep-1967,55.154,0,1,01-Sep-1967,52.007,0,3,01-Sep-1967 | 01-Feb-1987 | 01-Mar-1999,25.351 | 4.14 | 4.78,0 | 0.041888 | 0.028788,3,01-Sep-1967 | 01-Dec-1980 | 01-Apr-1987,24.153 | 5.406 | 30.179,1e-06 | 0.020073 | 0,2,01-Sep-1967 | 01-Mar-1999,53.225 | 23.057,0 | 2e-06,3,01-Sep-1967 | 01-Dec-1980 | 01-Apr-1987,28.427 | 7.413 | 15.93,0 | 0.006475 | 0.001609
CPIAUCSL,1,1,1,1,01-Nov-1990,9.315,0.002273,2,01-Dec-1972 | 01-Apr-1983,16.129 | 14.076,5.9e-05 | 0.000176,2,01-Apr-1992 | 01-Mar-1999,21.845 | 27.56,3e-06 | 0,0,,,,0,,,,0,,,
CPIAPPSL,1,1,1,2,01-Jan-1984 | 01-Apr-1990,10.8 | 0.608,0.001015 | 0.43557,2,01-Jan-1974 | 01-Jun-1986,11.959 | 21.651,0.000544 | 3e-06,1,01-Nov-1987,47.024,0,2,01-Jul-1972 | 01-Jan-1986,8.559 | 20.409,0.003437 | 6e-06,1,01-Nov-1987,70.446,0,2,01-Apr-1986 | 01-Jan-2018,60.737 | 5.008,0 | 0.025226
CPITRNSL,1,1,1,0,,,,0,,,,1,01-Feb-2000,29.169,0,4,01-Oct-1985 | 01-Dec-1991 | 01-Feb-1993 | 01-Feb-2000,6.01 | 33.632 | 16.159 | 34.46,0.014225 | 0 | 0.001441 | 0,1,01-Feb-2000,47.435,0,3,01-Mar-1980 | 01-Jun-1991 | 01-May-2000,4.955 | 6.705 | 61.486,0.026019 | 0.009615 | 0
CPIMEDSL,1,1,1,4,01-Apr-1978 | 01-Jun-1984 | 01-Dec-1985 | 01-Sep-1993,21.493 | 20.988 | 9.654 | 9.802,4e-06 | 5e-06 | 0.001889 | 0.001743,2,01-Apr-1983 | 01-Aug-1993,62.723 | 15.198,0 | 9.7e-05,3,01-Apr-1978 | 01-Jun-1984 | 01-Jun-2001,21.486 | 16.192 | 12.205,4e-06 | 5.7e-05 | 0.000477,3,01-Apr-1983 | 01-Aug-1993 | 01-Jun-2001,68.254 | 13.584 | 18.136,0 | 0.000228 | 2.1e-05,2,01-Apr-1978 | 01-Feb-2013,75.236 | 26.362,0 | 0,5,01-Jun-1978 | 01-Aug-1984 | 01-Nov-1993 | 01-Sep-2001 | 01-Jan-2015,7.787 | 15.049 | 13.558 | 27.863 | 20.2,0.005264 | 0.000105 | 0.000231 | 0 | 7e-06
CUSR0000SAC,1,1,1,0,,,,0,,,,1,01-Mar-1999,25.35,0,3,01-Dec-1972 | 01-Jul-1991 | 01-Mar-1999,20.843 | 20.541 | 38.088,5e-06 | 6e-06 | 0,1,01-Mar-1999,33.446,0,3,01-Mar-1973 | 01-Oct-1991 | 01-Jun-1999,17.204 | 14.813 | 55.868,3.4e-05 | 0.000119 | 0
CUSR0000SAD,1,1,1,1,01-May-1987,22.755,2e-06,2,01-Mar-1988 | 01-Dec-1996,45.976 | 3.742,0 | 0.05305,1,01-May-1985,18.779,1.5e-05,1,01-Feb-1988,35.042,0,0,,,,0,,,
CUSR0000SAS,1,1,1,2,01-May-1983 | 01-Apr-1993,43.37 | 6.967,0 | 0.008303,2,01-Apr-1983 | 01-Apr-1993,26.885 | 6.586,0 | 0.010277,1,01-May-1983,54.504,0,1,01-Dec-1983,35.851,0,5,01-Apr-1970 | 01-Feb-1980 | 01-Jul-1986 | 01-Feb-2006 | 01-Aug-2019,14.781 | 2.901 | 10.068 | 16.198 | 20.992,0.000121 | 0.088499 | 0.001508 | 5.7e-05 | 5e-06,1,01-Mar-1984,37.506,0
CPIULFSL,1,1,1,1,01-Nov-1990,16.053,6.2e-05,1,01-Mar-1991,15.953,6.5e-05,2,01-Nov-1990 | 01-Mar-1999,29.891 | 32.73,0 | 0,3,01-Feb-1979 | 01-Mar-1991 | 01-Mar-1999,8.965 | 38.767 | 36.554,0.002752 | 0 | 0,5,01-Nov-1990 | 01-Mar-2000 | 01-Aug-2009 | 01-Jan-2017 | 01-Aug-2023,16.7 | 29.645 | 15.549 | 3.566 | 10.885,4.4e-05 | 0 | 8e-05 | 0.058988 | 0.00097,1,01-Jun-1999,9.4,0.00217
CUSR0000SA0L2,1,1,1,0,,,,2,01-Dec-1972 | 01-Jan-1987,7.77 | 14.48,0.005312 | 0.000142,3,01-Jul-1969 | 01-Sep-1975 | 01-Jan-1999,5.395 | 8.457 | 23.726,0.020192 | 0.003636 | 1e-06,3,01-Jun-1972 | 01-Mar-1991 | 01-Mar-1999,4.975 | 39.636 | 41.977,0.025718 | 0 | 0,5,01-Jul-1969 | 01-Sep-1975 | 01-Feb-2003 | 01-Aug-2009 | 01-Oct-2018,5.397 | 6.091 | 18.152 | 13.453 | 0.857,0.02017 | 0.013591 | 2e-05 | 0.000245 | 0.35451,2,01-Jun-1991 | 01-Apr-1999,35.392 | 47.522,0 | 0
CUSR0000SA0L5,1,1,1,1,01-Feb-1991,18.694,1.5e-05,3,01-Dec-1972 | 01-Apr-1983 | 01-Mar-1991,16.769 | 8.718 | 7.205,4.2e-05 | 0.00315 | 0.007271,0,,,,0,,,,0,,,,0,,,
PCEPI,1,1,1,3,01-Jun-1972 | 01-Jun-1991 | 01-May-1998,17.997 | 29.311 | 19.244,2.2e-05 | 0 | 1.2e-05,3,01-Aug-1972 | 01-Feb-1984 | 01-May-1991,23.733 | 1.389 | 17.589,1e-06 | 0.23858 | 2.7e-05,1,01-Jun-1972,16.797,4.2e-05,1,01-Aug-1972,23.088,2e-06,1,01-Jun-1972,17.594,2.7e-05,1,01-Feb-1973,30.181,0
DDURRG3M086SBEA,1,1,1,0,,,,0,,,,0,,,,0,,,,2,01-Feb-1968 | 01-Mar-2016,3.868 | 24.744,0.049219 | 1e-06,2,01-Jun-1981 | 01-Jun-2019,6.553 | 11.602,0.010472 | 0.0126
