series_name,include_main_hist,include_main_2007,include_main_full_ext,uv_mb_nbreaks_hist,uv_mb_break_dates_hist,uv_mb_break_stats_hist,uv_mb_break_pvals_hist,cv_mb_nbreaks_hist,cv_mb_break_dates_hist,cv_mb_break_stats_hist,cv_mb_break_pvals_hist,uv2007_mb_nbreaks,uv2007_mb_break_dates,uv2007_mb_break_stats,uv2007_mb_break_pvals,cv2007_mb_nbreaks,cv2007_mb_break_dates,cv2007_mb_break_stats,cv2007_mb_break_pvals,uvfull_mb_nbreaks,uvfull_mb_break_dates,uvfull_mb_break_stats,uvfull_mb_break_pvals,cvfull_mb_nbreaks,cvfull_mb_break_dates,cvfull_mb_break_stats,cvfull_mb_break_pvals
CE16OV,1,1,1,2,01-Oct-1965 | 01-Feb-1992,6.037 | 36.648,0.014013 | 0,2,01-Jul-1965 | 01-Mar-1992,6.507 | 28.194,0.010745 | 0,2,01-Oct-1965 | 01-Aug-1984,4.717 | 14.541,0.029867 | 0.000137,2,01-Oct-1965 | 01-Feb-1986,5.404 | 11.756,0.020089 | 0.000606,0,,,,0,,,
UNRATE,1,1,1,1,01-Jul-1984,15.643,7.6e-05,1,01-Dec-1986,18.146,2e-05,1,01-Jul-1984,19.414,1.1e-05,1,01-Feb-1986,13.395,0.000252,0,,,,0,,,
UEMPMEAN,1,1,1,0,,,,1,01-Aug-1965,11.311,0.00077,0,,,,2,01-Jun-1966 | 01-Nov-1974,19.508 | 10.845,1e-05 | 0.000991,3,01-Jul-2008 | 01-Jan-2018 | 01-May-2024,49.488 | 10.641 | 9.652,0 | 0.001106 | 0.001892,3,01-Sep-2008 | 01-Mar-2018 | 01-Jul-2024,50.732 | 10.664 | 9.723,0 | 0.001092 | 0.00182
UEMPLT5,1,1,1,3,01-May-1965 | 01-Feb-1985 | 01-Sep-1993,5.261 | 29.624 | 32.277,0.021811 | 0 | 0,2,01-Nov-1983 | 01-Aug-1993,55.423 | 15.816,0 | 7e-05,0,,,,3,01-Apr-1970 | 01-Sep-1984 | 01-Jul-1993,7.761 | 27.084 | 33.116,0.00534 | 0 | 0,0,,,,0,,,
UEMP5TO14,1,1,1,1,01-Jan-1975,14.98,0.000109,1,01-Dec-1980,25.71,0,1,01-Jan-1975,13.698,0.000215,1,01-Jul-1975,17.385,3.1e-05,0,,,,0,,,
UEMP15OV,1,1,1,1,01-Jun-1976,14.329,0.000153,1,01-Mar-1971,20.907,5e-06,1,01-Jun-1976,15.085,0.000103,1,01-Feb-1971,17.158,3.4e-05,0,,,,1,01-Nov-2019,9.504,0.03349
UEMP15T26,1,1,1,1,01-Feb-1971,19.662,9e-06,1,01-Jul-1976,23.835,1e-06,1,01-Feb-1971,24.997,1e-06,1,01-Dec-1970,20.962,5e-06,1,01-Sep-2019,9.062,0.041057,0,,,
UEMP27OV,1,1,1,1,01-Jul-1976,27.601,0,1,01-Apr-1980,36.215,0,1,01-Jul-1976,24.475,1e-06,1,01-Jun-1976,27.659,0,1,01-Jul-1976,18.503,1.7e-05,4,01-Jun-1980 | 01-Dec-1997 | 01-Jun-2009 | 01-Oct-2019,36.611 | 17.075 | 28.48 | 21.48,0 | 3.6e-05 | 0 | 4e-06
CLAIMSx,1,1,1,2,01-Sep-1983 | 01-Dec-1992,10.349 | 7.993,0.001296 | 0.004696,2,01-Jan-1984 | 01-Dec-1992,11.584 | 7.633,0.000665 | 0.00573,1,01-Apr-1984,18.452,1.7e-05,1,01-Sep-1983,18.445,1.7e-05,0,,,,0,,,
PAYEMS,1,1,1,4,01-Oct-1974 | 01-Feb-1984 | 01-May-1990 | 01-Sep-1992,2.002 | 27.435 | 13.305 | 16.829,0.1571 | 0 | 0.000265 | 4.1e-05,1,01-Sep-1983,57.575,0,1,01-Jul-1984,38.461,0,1,01-Sep-1983,63.021,0,0,,,,0,,,
USGOOD,1,1,1,3,01-Nov-1983 | 01-Jan-1990 | 01-Feb-1992,38.978 | 15.806 | 19.083,0 | 7e-05 | 1.3e-05,1,01-Jul-1983,67.37,0,2,01-Jun-1984 | 01-Jan-2001,50.766 | 3.233,0 | 0.072167,1,01-Oct-1983,65.38,0,1,01-Jun-1984,11.954,0.000545,1,01-Jul-1983,15.733,7.3e-05
CES1021000001,1,1,1,3,01-Jul-1976 | 01-Feb-1983 | 01-Aug-1989,5.42 | 6.896 | 3.717,0.019902 | 0.008641 | 0.053863,1,01-Sep-1986,14.544,0.000137,2,01-Sep-1986 | 01-Sep-2001,16.458 | 2.284,5e-05 | 0.13071,3,01-Sep-1986 | 01-Mar-1994 | 01-Jul-2001,13.062 | 3.399 | 1.596,0.000301 | 0.065221 | 0.20646,0,,,,2,01-Nov-1974 | 01-Oct-1981,4.509 | 18.259,0.033718 | 0.000523
USCONS,1,1,1,3,01-Aug-1983 | 01-Oct-1989 | 01-Feb-1992,25.215 | 19.58 | 25.591,1e-06 | 1e-05 | 0,2,01-Jun-1968 | 01-Mar-1984,5.7 | 38.191,0.016963 | 0,3,01-Sep-1983 | 01-Nov-1989 | 01-Feb-1996,26.105 | 4.21 | 9.204,0 | 0.040194 | 0.002415,1,01-Mar-1984,81.571,0,1,01-Jun-1984,25.771,0,1,01-Mar-1984,51.818,0
MANEMP,1,1,1,1,01-Apr-1984,45.653,0,1,01-Sep-1983,37.463,0,1,01-Apr-1984,36.114,0,2,01-May-1983 | 01-Oct-1989,50.527 | 6.603,0 | 0.010183,1,01-Apr-1984,17.037,3.7e-05,1,01-May-1983,12.537,0.000399
DMANEMP,1,1,1,3,01-Nov-1982 | 01-Aug-1989 | 01-Jan-1992,21.825 | 7.109 | 18.733,3e-06 | 0.00767 | 1.5e-05,1,01-Nov-1983,32.057,0,3,01-Jul-1984 | 01-Jun-1997 | 01-Aug-2003,48.684 | 5.735 | 11.192,0 | 0.01663 | 0.000821,3,01-May-1983 | 01-Dec-1989 | 01-Jun-2001,47.298 | 5.209 | 3.215,0 | 0.022466 | 0.072986,1,01-Apr-1984,21.687,3e-06,1,01-Sep-1983,15.31,9.1e-05
NDMANEMP,1,1,1,2,01-Jul-1974 | 01-Nov-1982,4.501 | 11.806,0.03388 | 0.00059,2,01-Sep-1974 | 01-Aug-1982,5.898 | 19.501,0.015162 | 1e-05,4,01-Jul-1974 | 01-Apr-1984 | 01-Dec-1997 | 01-Feb-2004,4.225 | 17.498 | 11.244 | 5.722,0.039827 | 2.9e-05 | 0.000799 | 0.016753,2,01-Sep-1974 | 01-Aug-1982,5.713 | 17.446,0.01684 | 3e-05,0,,,,0,,,
SRVPRD,1,1,1,1,01-Mar-1992,48.612,0,2,01-Oct-1983 | 01-Jul-1991,6.597 | 3.443,0.010216 | 0.063511,1,01-Nov-1984,14.36,0.000151,2,01-Sep-1983 | 01-Jun-1991,9.832 | 2.508,0.001715 | 0.1133,0,,,,0,,,
USTPU,1,1,1,1,01-Sep-1992,22.079,3e-06,1,01-Jul-1965,9.203,0.002416,4,01-Nov-1984 | 01-Oct-1994 | 01-Dec-2000 | 01-Mar-2004,4.322 | 7.081 | 21.101 | 33.185,0.03763 | 0.007793 | 4e-06 | 0,1,01-Sep-1965,22.889,5.5e-05,0,,,,0,,,
USWTRADE,1,1,1,1,01-Mar-1993,43.078,0,1,01-Feb-1991,24.495,1e-06,0,,,,1,01-Sep-1980,13.387,0.000253,0,,,,0,,,
USTRADE,1,1,1,1,01-Sep-1992,35.718,0,1,01-Jan-1968,9.929,0.001627,4,01-Apr-1965 | 01-Sep-1992 | 01-Nov-1999 | 01-Jul-2003,2.808 | 32.085 | 21.276 | 13.762,0.093788 | 0 | 4e-06 | 0.000207,1,01-Jan-1968,8.718,0.003151,0,,,,0,,,
USFIRE,1,1,1,1,01-Jun-1966,49.605,0,2,01-Jan-1966 | 01-Apr-1980,18.878 | 13.358,1.4e-05 | 0.000257,1,01-May-1966,64.849,0,0,,,,0,,,,0,,,
USGOVT,1,1,1,2,01-Jan-1967 | 01-Jul-1982,2.016 | 7.253,0.15566 | 0.007076,1,01-Nov-1990,32.376,0,1,01-Jul-1982,13.311,0.000264,1,01-Nov-1990,8.658,0.003256,0,,,,0,,,
CES0600000007,1,1,1,4,01-Mar-1974 | 01-Oct-1980 | 01-Feb-1987 | 01-Jul-1993,1.941 | 0.44 | 2.897 | 133.297,0.16355 | 0.50698 | 0.088726 | 0,1,01-Mar-1984,12.303,0.000452,5,01-Mar-1974 | 01-May-1983 | 01-Mar-1993 | 01-Mar-2000 | 01-May-2006,5.77 | 27.206 | 180.353 | 87.26 | 10.783,0.016302 | 0 | 0 | 0 | 0.001024,2,01-Feb-1984 | 01-Dec-1992,22.907 | 9.821,2e-06 | 0.001725,5,01-Jul-1983 | 01-Jul-1993 | 01-Nov-2011 | 01-Apr-2020 | 01-May-2022,45.686 | 47.241 | 67.576 | 36.394 | 14.464,0 | 0 | 0 | 0 | 0.000143,0,,,
AWOTMAN,1,1,1,0,,,,0,,,,1,01-May-1996,14.125,0.000171,1,01-May-1996,17.769,2.5e-05,0,,,,0,,,
AWHMAN,1,1,1,5,01-Oct-1974 | 01-Jun-1983 | 01-Nov-1986 | 01-May-1989 | 01-Aug-1993,6.208 | 28.474 | 126.811 | 17.134 | 94.602,0.012718 | 0 | 0 | 3.5e-05 | 0,1,01-Mar-1984,9.939,0.001618,5,01-Aug-1974 | 01-May-1983 | 01-Aug-1993 | 01-Dec-1999 | 01-Feb-2006,7.455 | 20.36 | 121.154 | 68.721 | 24.744,0.006325 | 6e-06 | 0 | 0 | 1e-06,0,,,,0,,,,0,,,
HOUST,1,1,1,4,01-Feb-1964 | 01-Nov-1970 | 01-Oct-1982 | 01-Aug-1993,0 | 20.341 | 7.192 | 25.594,0.98604 | 6e-06 | 0.007324 | 0,1,01-Feb-1991,27.333,0,3,01-Nov-1970 | 01-Aug-1993 | 01-Oct-2001,16.455 | 57.236 | 28.405,5e-05 | 0 | 0,3,01-Feb-1991 | 01-Mar-2000 | 01-Dec-2001,28.47 | 13.414 | 42.768,0 | 0.00025 | 0,5,01-Oct-1970 | 01-Nov-2004 | 01-Aug-2012 | 01-Nov-2015 | 01-Sep-2022,27.221 | 19.848 | 8.808 | 39.562 | 61.695,0 | 8e-06 | 0.002999 | 0 | 0,0,,,
HOUSTNE,1,1,1,0,,,,0,,,,1,01-Oct-1997,56.897,0,2,01-Mar-1984 | 01-Jun-1991,1.687 | 1.81,0.19394 | 0.17854,5,01-Jan-1966 | 01-Feb-1974 | 01-Jan-1996 | 01-Apr-2007 | 01-Jun-2013,0.884 | 9.811 | 45.563 | 63.553 | 22.618,0.34712 | 0.001735 | 0 | 0 | 2e-06,1,01-Apr-2008,27.823,0
HOUSTMW,1,1,1,5,01-Nov-1970 | 01-Jan-1977 | 01-Dec-1983 | 01-Dec-1991 | 01-Sep-1998,10.744 | 7.784 | 23.462 | 28.234 | 12.35,0.001046 | 0.005272 | 1e-06 | 0 | 0.000441,1,01-Feb-1991,13.853,0.000198,5,01-Nov-1970 | 01-Jan-1977 | 01-Dec-1983 | 01-Dec-1991 | 01-Oct-2001,10.439 | 8.405 | 22.403 | 24.476 | 20.652,0.001234 | 0.003742 | 2e-06 | 1e-06 | 6e-06,1,01-Apr-1988,9.871,0.001679,5,01-Dec-1982 | 01-Nov-1997 | 01-Jan-2007 | 01-Mar-2013 | 01-May-2019,51.847 | 52.661 | 38.239 | 15.892 | 18.124,0 | 0 | 0 | 6.7e-05 | 2.1e-05,3,01-Mar-1991 | 01-Jan-2000 | 01-Jan-2007,12.357 | 2.315 | 17.724,0.000439 | 0.12813 | 2.6e-05
HOUSTS,1,1,1,2,01-Feb-1992 | 01-Apr-1998,30.047 | 21.172,0 | 4e-06,1,01-Mar-1984,8.113,0.004395,0,,,,1,01-Mar-1984,12.995,0.000312,0,,,,0,,,
HOUSTW,1,1,1,5,01-May-1965 | 01-Nov-1982 | 01-Sep-1990 | 01-Jul-1993 | 01-Oct-1997,30.212 | 10.798 | 3.274 | 51.198 | 29.856,0 | 0.001016 | 0.070405 | 0 | 0,1,01-Jan-1985,9.177,0.002451,5,01-Apr-1965 | 01-Nov-1982 | 01-Sep-1990 | 01-Oct-1993 | 01-Oct-2001,33.02 | 17.925 | 9.433 | 44.887 | 30.609,0 | 2.3e-05 | 0.002131 | 0 | 0,0,,,,5,01-Oct-1965 | 01-Sep-1987 | 01-Apr-2002 | 01-Jun-2008 | 01-Aug-2014,24.686 | 32.026 | 27.901 | 28.464 | 75.842,1e-06 | 0 | 0 | 0 | 0,1,01-May-2008,13.748,0.000209
PERMIT,1,1,1,5,01-Aug-1961 | 01-Aug-1969 | 01-Aug-1975 | 01-Dec-1991 | 01-Dec-1997,23.631 | 13.577 | 4.277 | 25.462 | 38.81,1e-06 | 0.000229 | 0.03864 | 0 | 0,2,01-Jan-1966 | 01-Mar-1991,14.911 | 48.687,0.000113 | 0,0,,,,2,01-Mar-1966 | 01-Mar-1991,12.165 | 47.589,0.000487 | 0,5,01-Apr-2000 | 01-Jun-2006 | 01-Aug-2008 | 01-Feb-2013 | 01-Sep-2019,26.065 | 12.686 | 85.232 | 112.333 | 2.116,1.2e-05 | 0.000368 | 0 | 0 | 0.14573,3,01-Apr-1966 | 01-Apr-1991 | 01-Apr-2007,11.725 | 50.82 | 15.469,0.000617 | 0 | 8.4e-05
PERMITNE,1,1,1,0,,,,1,01-Jan-1985,14.91,0.000113,1,01-Nov-1997,84.035,0,1,01-Jan-1985,20.446,6e-06,5,01-Oct-1992 | 01-Mar-2007 | 01-May-2013 | 01-Jan-2016 | 01-Sep-2018,60.144 | 57.393 | 19.486 | 4.328 | 20.548,0 | 0 | 1e-05 | 0.0375 | 6e-06,2,01-Feb-1985 | 01-Feb-2008,21.367 | 27.095,4e-06 | 0
PERMITMW,1,1,1,4,01-Nov-1970 | 01-Feb-1977 | 01-Dec-1983 | 01-Dec-1989,9.337 | 5.06 | 26.343 | 1.431,0.002246 | 0.024486 | 0 | 0.23154,1,01-May-1990,31.75,0,5,01-Mar-1963 | 01-Feb-1971 | 01-Feb-1979 | 01-Apr-1985 | 01-Sep-1998,4.61 | 16.275 | 4.644 | 22.381 | 28.911,0.031786 | 5.5e-05 | 0.031166 | 2e-06 | 0,1,01-May-1990,40.343,0,5,01-May-1967 | 01-Jun-2006 | 01-Aug-2012 | 01-Dec-2015 | 01-Apr-2020,33.265 | 31.661 | 7.243 | 34.433 | 32.074,0 | 1e-06 | 0.007119 | 0 | 0,2,01-Jun-1990 | 01-Sep-2006,40.286 | 21.182,0 | 4e-06
PERMITS,1,1,1,5,01-Aug-1976 | 01-Oct-1982 | 01-Oct-1988 | 01-Aug-1995 | 01-Dec-1997,23.241 | 10.294 | 10.428 | 3.362 | 121.08,1e-06 | 0.001334 | 0.001241 | 0.06673 | 0,3,01-Apr-1966 | 01-Feb-1991 | 01-Nov-1997,18.763 | 29.679 | 10.722,1.5e-05 | 0 | 0.001059,4,01-Apr-1967 | 01-Aug-1976 | 01-Oct-2000 | 01-Dec-2006,6.717 | 7.497 | 40.636 | 18.351,0.009551 | 0.006181 | 0 | 0.000501,2,01-Apr-1966 | 01-Feb-1991,18.742 | 35.668,1.5e-05 | 0,5,01-Apr-1967 | 01-Aug-1976 | 01-Nov-1982 | 01-May-2002 | 01-Apr-2012,7.265 | 17.131 | 7.405 | 36.234 | 22.544,0.007031 | 3.5e-05 | 0.006506 | 0 | 2e-06,2,01-May-1966 | 01-Mar-1991,19.492 | 22.116,1e-05 | 3e-06
PERMITW,1,1,1,3,01-Dec-1965 | 01-Jan-1987 | 01-Aug-1993,19.943 | 7.649 | 21.829,8e-06 | 0.005682 | 3e-06,2,01-May-1978 | 01-Feb-1987,8.038 | 10.232,0.004582 | 0.00138,3,01-Feb-1966 | 01-Aug-1993 | 01-Oct-2001,9.985 | 57.001 | 23.691,0.001578 | 0 | 1e-06,3,01-May-1978 | 01-Feb-1987 | 01-Dec-1995,6.256 | 7.288 | 5.592,0.012378 | 0.006942 | 0.018042,5,01-Feb-1966 | 01-Mar-1987 | 01-Apr-2002 | 01-Jun-2008 | 01-Aug-2014,22.449 | 23.127 | 23.934 | 19.728 | 66.045,2e-06 | 2e-06 | 1e-06 | 9e-06 | 0,0,,,
ACOGNO,0,0,0,NaN,,,,NaN,,,,NaN,,,,NaN,,,,NaN,,,,NaN,,,
AMDMNOx,1,1,1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
ANDENOx,0,1,1,NaN,,,,NaN,,,,1,01-Jan-1992,10.448,0.001228,2,01-Oct-1985 | 01-Mar-1992,3.45 | 17.142,0.063245 | 3.5e-05,2,01-Jan-1992 | 01-Jun-2010,11.88 | 19.403,0.000567 | 1.1e-05,4,01-Apr-1975 | 01-Nov-1985 | 01-May-1992 | 01-Jun-2008,3.215 | 6.527 | 14.863 | 25.145,0.072976 | 0.010625 | 0.000116 | 1e-06
AMDMUOx,1,1,1,1,01-Apr-1979,23.224,1e-06,0,,,,4,01-Apr-1979 | 01-Dec-1987 | 01-Mar-1994 | 01-May-2000,18.108 | 0.685 | 3.037 | 12.977,2.1e-05 | 0.40785 | 0.081387 | 0.000315,0,,,,5,01-Apr-1979 | 01-May-2000 | 01-Dec-2009 | 01-Jul-2012 | 01-Oct-2019,25.292 | 13.555 | 28.231 | 15.41 | 6.749,0 | 0.000232 | 0 | 8.7e-05 | 0.009382,1,01-Nov-2014,13.06,0.000302
BUSINVx,1,1,1,3,01-Oct-1966 | 01-Dec-1972 | 01-Mar-1983,6.263 | 24.646 | 11.763,0.012332 | 1e-06 | 0.000604,1,01-Jun-1992,12.51,0.000405,3,01-Oct-1966 | 01-Dec-1972 | 01-Mar-1983,5.403 | 27.048 | 11.897,0.020099 | 0 | 0.000562,0,,,,5,01-Jun-1961 | 01-Aug-1964 | 01-Dec-1972 | 01-Dec-1974 | 01-Mar-1983,21.909 | 11.02 | 32.184 | 9.652 | 5.19,3e-06 | 0.000901 | 0 | 0.001891 | 0.022721,0,,,
ISRATIOx,1,1,1,1,01-Feb-1987,17.76,2.5e-05,1,01-Feb-1987,16.187,5.7e-05,1,01-Feb-1987,20.528,6e-06,2,01-May-1991 | 01-Jan-2000,18.9 | 0.939,1.4e-05 | 0.33244,0,,,,0,,,
M1SL,1,1,1,1,01-Dec-1977,9.279,0.002317,1,01-Feb-1979,17.659,2.6e-05,3,01-Dec-1977 | 01-Aug-1995 | 01-Oct-2001,8.05 | 1.619 | 0.307,0.00455 | 0.20324 | 0.57962,1,01-Sep-1999,9.085,0.002577,0,,,,0,,,
M2SL,1,1,1,2,01-Nov-1961 | 01-Jan-1970,1.361 | 5.786,0.24339 | 0.016158,2,01-Apr-1966 | 01-Jun-1987,27.224 | 10.785,0 | 0.001023,2,01-Apr-1966 | 01-Jan-2000,16.559 | 7.743,4.7e-05 | 0.005393,2,01-Apr-1966 | 01-Mar-2000,28.263 | 8.463,0 | 0.003624,2,01-Apr-1966 | 01-Jan-2000,16.561 | 11.875,4.7e-05 | 0.000569,3,01-Jan-1970 | 01-Jun-1987 | 01-Jan-2000,21.453 | 7.559 | 18.832,4e-06 | 0.005971 | 1.4e-05
M2REAL,1,1,1,5,01-Jun-1960 | 01-Oct-1967 | 01-Dec-1973 | 01-Mar-1983 | 01-Oct-1993,15.771 | 2.91 | 1.693 | 10.565 | 3.406,7.1e-05 | 0.088059 | 0.19325 | 0.001152 | 0.064941,4,01-Jan-1970 | 01-Jan-1977 | 01-May-1983 | 01-Jul-1993,10.208 | 0.158 | 8.205 | 3.931,0.001398 | 0.6908 | 0.004177 | 0.047416,4,01-Jun-1960 | 01-Oct-1967 | 01-Dec-1973 | 01-Mar-1983,14.355 | 3.317 | 1.802 | 11.43,0.000151 | 0.068583 | 0.17947 | 0.000723,2,01-May-1983 | 01-Mar-2000,15.02 | 24.445,0.000106 | 1e-06,3,01-Feb-1969 | 01-Mar-1983 | 01-Sep-2019,31.573 | 16.711 | 16.865,0 | 4.4e-05 | 0.001026,5,01-Mar-1970 | 01-Mar-1977 | 01-Jul-1983 | 01-Feb-1994 | 01-May-2000,10.478 | 0.226 | 9.028 | 6.336 | 32.239,0.001208 | 0.63432 | 0.002659 | 0.011831 | 0
BOGMBASE,1,1,1,2,01-Dec-1971 | 01-May-1992,13.22 | 30.673,0.000277 | 0,0,,,,2,01-Dec-1971 | 01-May-1992,13.273 | 19.989,0.000269 | 8e-06,0,,,,1,01-Aug-2008,20.762,5e-06,2,01-Aug-2008 | 01-Apr-2015,41.818 | 1.57,0 | 0.21025
TOTRESNS,1,1,1,1,01-Dec-1971,38.073,0,2,01-Dec-1968 | 01-Oct-1990,30.094 | 9.397,0 | 0.002174,2,01-Dec-1971 | 01-May-2001,41.413 | 3.433,0 | 0.063902,4,01-Dec-1968 | 01-Oct-1978 | 01-Oct-1990 | 01-Aug-2001,14.525 | 2.301 | 6.621 | 3.295,0.000138 | 0.1293 | 0.010078 | 0.069494,3,01-Dec-1971 | 01-Jan-1984 | 01-May-2001,15.118 | 3.68 | 4.969,0.000101 | 0.055057 | 0.025804,4,01-Oct-1978 | 01-Jan-1987 | 01-Apr-1993 | 01-Aug-2001,14.706 | 3.459 | 6.243 | 22.537,0.000126 | 0.062902 | 0.012469 | 2e-06
NONBORRES,1,1,1,1,01-Dec-1971,41.441,0,1,01-Jan-1980,18.396,1.8e-05,1,01-May-2001,40.916,0,2,01-Jan-1980 | 01-Aug-2001,19.717 | 6.752,9e-06 | 0.009362,0,,,,0,,,
BUSLOANS,1,1,1,0,,,,2,01-May-1966 | 01-May-1975,11.295 | 2.016,0.000777 | 0.15564,0,,,,0,,,,0,,,,1,01-Nov-2019,9.667,0.03107
REALLN,1,1,1,0,,,,0,,,,1,01-Oct-1999,15.441,8.5e-05,1,01-Jul-1999,23.983,1e-06,5,01-Jun-1996 | 01-Jul-2003 | 01-May-2010 | 01-Jul-2016 | 01-Sep-2023,18.288 | 5.818 | 14.894 | 0.296 | 15.814,1.9e-05 | 0.015861 | 0.000114 | 0.5862 | 7e-05,5,01-Nov-1986 | 01-Jul-1999 | 01-Jul-2006 | 01-Dec-2012 | 01-Oct-2019,2.636 | 14.644 | 1.079 | 16.777 | 1.953,0.10448 | 0.00013 | 0.29885 | 4.2e-05 | 0.1623
NONREVSL,1,1,1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
CONSPI,1,1,1,0,,,,0,,,,0,,,,0,,,,0,,,,1,01-Nov-2019,9.769,0.029628
S&P 500,1,1,1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
S&P div yield,1,1,1,3,01-Oct-1973 | 01-Nov-1982 | 01-Mar-1991,21.475 | 9.437 | 37.523,4e-06 | 0.002127 | 0,3,01-Oct-1973 | 01-Oct-1982 | 01-Feb-1991,20.217 | 9.592 | 47.071,7e-06 | 0.001954 | 0,5,01-Oct-1973 | 01-Nov-1982 | 01-Mar-1991 | 01-Feb-2001 | 01-Jun-2003,21.234 | 9.266 | 40.824 | 11.359 | 22.066,4e-06 | 0.002334 | 0 | 0.000751 | 3e-06,5,01-Oct-1973 | 01-Oct-1982 | 01-Feb-1991 | 01-Apr-1997 | 01-Jun-2003,20.217 | 9.357 | 48.508 | 2.455 | 8.742,7e-06 | 0.002221 | 0 | 0.11714 | 0.003109,3,01-Oct-1973 | 01-Nov-1982 | 01-Mar-1991,21.272 | 9.292 | 29.507,4e-06 | 0.002302 | 0,3,01-Nov-1973 | 01-Nov-1982 | 01-Mar-1991,20.511 | 9.277 | 36.15,6e-06 | 0.002321 | 0
S&P PE ratio,1,1,1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
FEDFUNDS,1,1,1,5,01-Mar-1969 | 01-Oct-1978 | 01-Dec-1984 | 01-Nov-1987 | 01-Jul-1992,11.728 | 6.546 | 10.985 | 1.431 | 13.351,0.000616 | 0.010515 | 0.000918 | 0.23164 | 0.000258,5,01-Mar-1969 | 01-Oct-1978 | 01-Jan-1985 | 01-Dec-1987 | 01-Sep-1992,10.75 | 7.057 | 11.171 | 1.925 | 12.583,0.001043 | 0.007895 | 0.000831 | 0.16529 | 0.000389,5,01-Mar-1969 | 01-Oct-1978 | 01-Dec-1984 | 01-Nov-1987 | 01-Feb-1995,11.785 | 6.554 | 11.019 | 4.033 | 5.741,0.000597 | 0.010465 | 0.000902 | 0.044608 | 0.016577,5,01-Mar-1969 | 01-Oct-1978 | 01-Dec-1984 | 01-Aug-1992 | 01-Oct-2001,7.733 | 7.069 | 13.781 | 13.543 | 11.751,0.005422 | 0.007844 | 0.000205 | 0.000233 | 0.000608,5,01-Aug-1979 | 01-Oct-1985 | 01-Jan-1992 | 01-Dec-2008 | 01-Jul-2019,9.134 | 11.958 | 12.764 | 33.493 | 7.152,0.002509 | 0.000544 | 0.000353 | 0 | 0.007489,5,01-Sep-1979 | 01-Nov-1985 | 01-Aug-1992 | 01-Dec-2008 | 01-Nov-2017,9.683 | 13.589 | 15.774 | 65.136 | 13.527,0.001859 | 0.000228 | 7.1e-05 | 0 | 0.000235
CP3Mx,1,1,1,5,01-Aug-1960 | 01-Apr-1969 | 01-Jul-1979 | 01-Sep-1985 | 01-Jul-1992,13.031 | 32.259 | 9.734 | 15.265 | 16.528,0.006419 | 0 | 0.001809 | 9.3e-05 | 4.8e-05,5,01-Apr-1969 | 01-May-1977 | 01-Jun-1983 | 01-Nov-1989 | 01-Dec-1994,42.314 | 7.242 | 9.777 | 10.171 | 7.202,0 | 0.007121 | 0.001767 | 0.001427 | 0.007282,5,01-Apr-1969 | 01-Jul-1979 | 01-Sep-1985 | 01-Jul-1992 | 01-Oct-2001,28.514 | 9.743 | 15.312 | 9.044 | 3.733,0 | 0.0018 | 9.1e-05 | 0.002636 | 0.053358,5,01-Feb-1969 | 01-Aug-1979 | 01-Oct-1985 | 01-Jan-1992 | 01-Oct-2001,44.436 | 10.789 | 14.277 | 8.931 | 9.436,0 | 0.001021 | 0.000158 | 0.002804 | 0.002127,5,01-Jul-1970 | 01-Sep-1976 | 01-Nov-1982 | 01-Jul-1989 | 01-Feb-2009,28.498 | 4.162 | 8.222 | 19.103 | 12.426,0 | 0.04134 | 0.004138 | 1.2e-05 | 0.000423,5,01-Jun-1969 | 01-Oct-1979 | 01-Dec-1985 | 01-Mar-1993 | 01-Apr-2009,32.581 | 8.642 | 13.792 | 13.741 | 12.199,0 | 0.003286 | 0.000204 | 0.00021 | 0.000478
TB3MS,1,1,1,5,01-Oct-1960 | 01-May-1969 | 01-Apr-1979 | 01-Jun-1985 | 01-Jan-1993,10.415 | 37.363 | 9.029 | 16.758 | 6.999,0.00125 | 0 | 0.002657 | 4.2e-05 | 0.008157,5,01-Jan-1961 | 01-May-1969 | 01-May-1979 | 01-Jun-1985 | 01-Jul-1992,64.018 | 33.148 | 8.582 | 18.399 | 13.178,0 | 0 | 0.003395 | 1.8e-05 | 0.000283,5,01-Oct-1960 | 01-May-1969 | 01-Apr-1979 | 01-Jun-1985 | 01-Jul-1992,10.543 | 37.281 | 9.056 | 16.691 | 3.77,0.001167 | 0 | 0.002619 | 4.4e-05 | 0.052165,5,01-Jan-1961 | 01-May-1969 | 01-Aug-1979 | 01-Oct-1985 | 01-Oct-2001,68.533 | 36.447 | 7.37 | 19.853 | 8.646,0 | 0 | 0.006634 | 8e-06 | 0.003277,5,01-Oct-1960 | 01-May-1969 | 01-Apr-1979 | 01-Jun-1985 | 01-Feb-2009,10.528 | 37.293 | 9.052 | 16.877 | 19.611,0.001176 | 0 | 0.002623 | 4e-05 | 9e-06,5,01-May-1969 | 01-Feb-1979 | 01-Apr-1985 | 01-Nov-1992 | 01-Feb-2009,24.763 | 6.26 | 16.86 | 3.255 | 14.975,1e-06 | 0.012348 | 4e-05 | 0.071216 | 0.000109
