series_name,include_main_hist,uv_smooth_found_hist,uv_smooth_gamma_hist,uv_smooth_midpoint_hist,uv_smooth_ssr_gain_hist,uv_smooth_ratio_hist,uv_smooth_pct_change_hist,uv_smooth_abrupt_hist
RPI,1,1,100,01-Jul-1970,0.383818804353566,1.19471801830524,19.4718018305243,1
W875RX1,1,1,100,01-Apr-1972,0.98885030429113,1.3232838054997,32.3283805499703,1
DPCERA3M086SBEA,1,1,100,01-May-1988,5.26211592967426,0.587419086266908,-41.2580913733093,1
CMRMTSPLx,1,1,100,01-Jan-1966,12.4279798607584,0.501583263869436,-49.8416736130564,1
RETAILx,1,1,100,01-Mar-1988,3.65372181035316,0.625126580087364,-37.4873419912636,1
INDPRO,1,1,100,01-Dec-1983,7.41052650371985,0.528197849225323,-47.1802150774677,1
IPFPNSS,1,1,100,01-Oct-1983,4.36981301111414,0.657410986975734,-34.2589013024266,1
IPFINAL,1,1,100,01-Aug-1983,2.46358560453936,0.736541787429797,-26.3458212570203,1
IPCONGD,1,1,100,01-Jan-1976,2.78522096563036,0.729620929623124,-27.0379070376876,1
IPDCONGD,1,1,10,01-Apr-1965,2.87246073213722,0.518872413247467,-48.1127586752533,0
IPNCONGD,1,1,100,01-Jan-1976,0.996174379193665,0.852581929536127,-14.7418070463873,1
IPBUSEQ,1,1,100,01-Sep-1983,4.92458809465904,0.669633877718974,-33.0366122281026,1
IPMAT,1,1,10,01-Apr-1965,13.3956235575531,0.287405190921951,-71.2594809078049,0
IPDMAT,1,1,10,01-Apr-1965,10.0677773258419,0.313501816249589,-68.6498183750411,0
IPNMAT,1,1,100,01-Dec-1983,7.63555121358613,0.555004554799953,-44.4995445200047,1
IPMANSICS,1,1,100,01-Nov-1983,6.65946885497564,0.550642922507038,-44.9357077492962,1
IPB51222S,1,1,10,01-May-1972,13.8291511483651,4.03096028349885,303.096028349885,0
IPFUELS,1,1,100,01-Feb-1993,1.96011092607396,0.666089848766136,-33.3910151233864,1
CUMFNS,1,1,100,01-Jan-1984,6.81752005172542,0.548567995802029,-45.1432004197971,1
HWI,1,1,2,01-Oct-1993,10.7667529644277,15.4341896022594,1443.41896022594,0
HWIURATIO,1,1,100,01-Jun-1975,4.91685322522096,0.662175319482146,-33.7824680517854,1
CLF16OV,1,1,1,01-Apr-1965,7.16602013074292,-0.154047297085298,-115.40472970853,0
CE16OV,1,1,20,01-Apr-1965,7.18237300825727,0.497872024912494,-50.2127975087506,1
UNRATE,1,1,100,01-Feb-1985,3.08863319201246,0.688436498038032,-31.1563501961968,1
