series_name,fred_group,is_nominal,tcode,include_main,n_obs,adf_lag_bic,adf_stat,adf_pval,adf_reject_unit_root,kpss_lag_nw,kpss_stat,kpss_reject_stationarity,status
AMDMNOx,Orders and Inventories,0,5,1,490,-1,-27.8003654922486,0.001,1,6,0.0616641854139758,0,OK
ANDENOx,Orders and Inventories,0,5,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,excluded
AMDMUOx,Orders and Inventories,0,5,1,490,1,-4.8754652300845,0.001,1,6,0.475921857823397,1,ambiguous
BUSINVx,Orders and Inventories,0,5,1,490,1,-4.01119053351144,0.001,1,6,0.77285084008315,1,ambiguous
ISRATIOx,Orders and Inventories,0,2,1,490,-1,-24.7319063431931,0.001,1,6,0.0654362654702837,0,OK
M1SL,Money and Credit,1,6,1,490,2,-17.9281014722276,0.001,1,6,0.0146573130088889,0,OK
M2SL,Money and Credit,1,6,1,490,0,-20.9969785661746,0.001,1,6,0.0127875085637168,0,OK
M2REAL,Money and Credit,1,5,1,490,-1,-8.03698536414667,0.001,1,6,0.608987429514281,1,ambiguous
BOGMBASE,Money and Credit,1,6,1,490,9,-23.9950802334778,0.001,1,6,0.042226939673293,0,OK
TOTRESNS,Money and Credit,1,6,1,490,9,-17.929906349359,0.001,1,6,0.00803946266036095,0,OK
NONBORRES,Money and Credit,1,7,1,490,9,-18.3338017701435,0.001,1,6,0.00702738251155842,0,OK
BUSLOANS,Money and Credit,1,6,1,490,2,-17.2154199978322,0.001,1,6,0.0171320467535347,0,OK
REALLN,Money and Credit,1,6,1,490,0,-23.1687033101043,0.001,1,6,0.0994669746364605,0,OK
NONREVSL,Money and Credit,1,6,1,490,1,-21.385257124891,0.001,1,6,0.0116059807333524,0,OK
CONSPI,Money and Credit,1,2,1,490,4,-5.56567911504768,0.001,1,6,0.321852726908134,0,OK
S&P 500,Stock Market,1,5,1,490,-1,-16.6558078029647,0.001,1,6,0.47244767504295,1,ambiguous
S&P div yield,Stock Market,1,2,1,490,-1,-16.8992609185574,0.001,1,6,0.195270452716532,0,OK
S&P PE ratio,Stock Market,1,5,1,490,-1,-15.3501088421841,0.001,1,6,0.283526707298581,0,OK
FEDFUNDS,Interest and Exchange Rates,1,2,1,490,11,-5.67212645228648,0.001,1,6,0.071223957896543,0,OK
CP3Mx,Interest and Exchange Rates,1,2,1,490,6,-7.92445440957978,0.001,1,6,0.0595210512981158,0,OK
TB3MS,Interest and Exchange Rates,1,2,1,490,11,-5.82277995274029,0.001,1,6,0.0717682341515404,0,OK
TB6MS,Interest and Exchange Rates,1,2,1,490,6,-8.01127822330121,0.001,1,6,0.0725727495539618,0,OK
GS1,Interest and Exchange Rates,1,2,1,490,4,-11.282748601742,0.001,1,6,0.0748945514713434,0,OK
GS5,Interest and Exchange Rates,1,2,1,490,0,-16.6283927491605,0.001,1,6,0.121984228094594,0,OK
GS10,Interest and Exchange Rates,1,2,1,490,0,-16.291225224035,0.001,1,6,0.166197089629831,0,OK
AAA,Interest and Exchange Rates,1,2,1,490,0,-16.1876548859275,0.001,1,6,0.234913409479445,0,OK
BAA,Interest and Exchange Rates,1,2,1,490,0,-13.2899128337491,0.001,1,6,0.274175421233353,0,OK
COMPAPFFx,Interest and Exchange Rates,1,1,1,490,3,-3.51765635789214,0.001,1,6,1.53406891427763,1,ambiguous
TB3SMFFM,Interest and Exchange Rates,1,1,1,490,3,-2.86927281826273,0.0044925141648831,1,6,0.68253925179165,1,ambiguous
TB6SMFFM,Interest and Exchange Rates,1,1,1,490,3,-3.25205635432519,0.00138950334430925,1,6,0.665120965736683,1,ambiguous
T1YFFM,Interest and Exchange Rates,1,1,1,490,3,-4.11955543129827,0.001,1,6,0.224712335192267,0,OK
T5YFFM,Interest and Exchange Rates,1,1,1,490,3,-3.28612702509534,0.00111331158028643,1,6,0.362326711591986,0,OK
T10YFFM,Interest and Exchange Rates,1,1,1,490,3,-3.12566464692428,0.0024140898239948,1,6,0.505517013627467,1,ambiguous
AAAFFM,Interest and Exchange Rates,1,1,1,490,3,-2.50277755774033,0.0123163353705617,1,6,0.958593113909784,1,ambiguous
BAAFFM,Interest and Exchange Rates,1,1,1,490,1,-2.35052794764437,0.0184039580033454,1,6,1.06383076813155,1,ambiguous
TWEXAFEGSMTHx,Interest and Exchange Rates,1,5,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,excluded
EXSZUSx,Interest and Exchange Rates,1,5,1,490,-1,-15.7344476870754,0.001,1,6,0.111206729509802,0,OK
EXJPUSx,Interest and Exchange Rates,1,5,1,490,-1,-15.0512810702275,0.001,1,6,0.100773406288342,0,OK
EXUSUKx,Interest and Exchange Rates,1,5,1,490,-1,-14.9151961201262,0.001,1,6,0.0554093278503465,0,OK
EXCAUSx,Interest and Exchange Rates,1,5,1,490,-1,-18.1945314193006,0.001,1,6,0.108000496281503,0,OK
WPSFD49207,Prices,1,6,1,490,6,-14.2446107787341,0.001,1,6,0.0101299485182831,0,OK
WPSFD49502,Prices,1,6,1,490,6,-15.0712811579055,0.001,1,6,0.00984213569502179,0,OK
WPSID61,Prices,1,6,1,490,0,-27.0030882506843,0.001,1,6,0.0102306456527607,0,OK
WPSID62,Prices,1,6,1,490,6,-14.6511889698975,0.001,1,6,0.0210763251065657,0,OK
OILPRICEx,Prices,1,6,1,490,6,-14.6060330042349,0.001,1,6,0.0078878793994682,0,OK
PPICMM,Prices,1,6,1,490,3,-16.6229923903216,0.001,1,6,0.008458261751977,0,OK
CPIAUCSL,Prices,1,6,1,490,2,-17.5457814244825,0.001,1,6,0.0283589252914833,0,OK
CPIAPPSL,Prices,1,6,1,490,3,-21.4886808956067,0.001,1,6,0.0118536468920561,0,OK
CPITRNSL,Prices,1,6,1,490,1,-19.3546088909012,0.001,1,6,0.0111468409152955,0,OK
CPIMEDSL,Prices,1,6,1,490,2,-18.4504851747243,0.001,1,6,0.0151040706596456,0,OK
CUSR0000SAC,Prices,1,6,1,490,3,-16.8317197803021,0.001,1,6,0.0139684748088485,0,OK
CUSR0000SAD,Prices,1,6,1,490,1,-19.3157803124199,0.001,1,6,0.02626697441639,0,OK
CUSR0000SAS,Prices,1,6,1,490,-1,-41.8693616387648,0.001,1,6,0.0186496116572963,0,OK
CPIULFSL,Prices,1,6,1,490,0,-24.2339098017699,0.001,1,6,0.0238901004622883,0,OK
CUSR0000SA0L2,Prices,1,6,1,490,2,-18.3431114953756,0.001,1,6,0.0201686983775064,0,OK
CUSR0000SA0L5,Prices,1,6,1,490,0,-24.8220666724978,0.001,1,6,0.0228179717763788,0,OK
PCEPI,Prices,1,6,1,490,2,-17.7822978252174,0.001,1,6,0.0297822585802239,0,OK
DDURRG3M086SBEA,Prices,1,6,1,490,0,-28.6244864882609,0.001,1,6,0.0227340686051743,0,OK
DNDGRG3M086SBEA,Prices,1,6,1,490,3,-16.8556866605445,0.001,1,6,0.0129125656142925,0,OK
DSERRG3M086SBEA,Prices,1,6,1,490,3,-17.3506843889557,0.001,1,6,0.0460413000953198,0,OK
CES0600000008,Labor Market,0,6,1,490,3,-18.4137978680282,0.001,1,6,0.00930632154147237,0,OK
CES2000000008,Labor Market,0,6,1,490,4,-18.224779028763,0.001,1,6,0.00823773084233993,0,OK
CES3000000008,Labor Market,0,6,1,490,8,-12.4953543146884,0.001,1,6,0.00868557708472631,0,OK
UMCSENTx,Orders and Inventories,0,2,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,excluded
DTCOLNVHFNM,Money and Credit,1,6,1,490,9,-15.2720371707284,0.001,1,6,0.00978614567334579,0,OK
DTCTHFNM,Money and Credit,1,6,1,490,1,-19.9916048912911,0.001,1,6,0.00873665681492647,0,OK
INVEST,Money and Credit,1,6,1,490,0,-26.1965393812137,0.001,1,6,0.00990227748848821,0,OK
VIXCLSx,Stock Market,1,1,1,450,7,-0.490550503497928,0.471787412003026,0,6,0.824580290546109,1,nonstationary
