series_name,include_main_hist,uv_nobs_hist,uv_mean_pre84,uv_mean_post84,uv_ratio_post_pre84,uv_pct_change_post_pre84,uv_break_found_hist,uv_break_date_hist,uv_mu1_hist,uv_mu2_hist,uv_delta_hist,uv_ratio_break_hist,uv_pct_change_break_hist,uv_ssr_nobreak_hist,uv_ssr_best_hist,uv_ssr_gain_pct_hist,uv_supw_found_hist,uv_supw_stat_hist,uv_supw_hac_lag_hist,uv_supw_break_date_hist,uv_supw_mu1_hist,uv_supw_mu2_hist,uv_supw_ratio_hist,uv_supw_pct_change_hist,uv_hansen_pval_hist,uv_hansen_sig5_hist
RPI,1,490,0.00383415774764062,0.00368717069777133,0.961663796968253,-3.83362030317474,1,01-Mar-1970,0.00324182416039497,0.00397577918609656,0.00073395502570159,1.22640186184934,22.6401861849339,0.0101360244410483,0.0100838253820103,0.514985528513884,1,2.65439750163128,5,01-Mar-1970,0.00324182416039497,0.00397577918609656,1.22640186184934,22.6401861849338,0.633053402028838,0
W875RX1,1,490,0.00371747212926184,0.00414127459988997,1.11400286428301,11.4002864283013,1,01-Jun-1972,0.00314381219071767,0.00424218626419417,0.0010983740734765,1.34937649161089,34.9376491610895,0.0109323453138232,0.010802346799621,1.18911825843814,1,5.45694024085265,5,01-Jun-1972,0.00314381219071767,0.00424218626419417,1.34937649161089,34.9376491610893,0.205603771641203,0
DPCERA3M086SBEA,1,490,0.00580563525854212,0.00474858677250252,0.817927162323139,-18.2072837676861,1,01-Feb-1987,0.00616862784915064,0.00369577279254169,-0.00247285505660896,0.599123967747634,-40.0876032252366,0.0114550544331693,0.0108093091521361,5.63720831533903,1,43.6123639039571,5,01-Jan-1992,0.00594017234623664,0.00310989358529015,0.523535918492399,-47.6464081507601,1.9323438404939e-09,1
CMRMTSPLx,1,490,0.0134716844973902,0.00868155830805265,0.644430049540908,-35.5569950459092,1,01-Aug-1966,0.019159042938322,0.00989276827729852,-0.00926627466102352,0.516349815027083,-48.3650184972917,0.0499410513649448,0.0436326871621551,12.6316207416045,1,38.7065193601525,5,01-Sep-1992,0.0125694234960371,0.00707981041914286,0.563256574287196,-43.6743425712804,2.22511433722872e-08,1
RETAILx,1,490,0.0121366862507085,0.00993165468718015,0.818316835586021,-18.1683164413979,1,01-Feb-1987,0.0127939331273523,0.00795356280428145,-0.00484037032307087,0.621666748224393,-37.8333251775607,0.0588425080645058,0.0563683861428183,4.20465069057779,1,25.6901598965809,5,01-Feb-1991,0.0123057023010138,0.00753038225528694,0.611942502027417,-38.8057497972583,1.39289407720122e-05,1
INDPRO,1,490,0.00911047315918365,0.00488766435687269,0.53648853044979,-46.351146955021,1,01-Jan-1984,0.00915080282913513,0.00480242152903079,-0.00434838130010434,0.524808764728316,-47.5191235271684,0.0281735533760179,0.0259697963273546,7.82207703533494,1,30.2329411571845,5,01-Jan-1984,0.00915080282913513,0.00480242152903079,0.524808764728316,-47.5191235271684,1.48577061132027e-06,1
IPFPNSS,1,490,0.00807455527168935,0.00535598919170861,0.663316927247689,-33.6683072752311,1,01-Sep-1983,0.00814294884667437,0.0052943460820643,-0.00284860276461006,0.65017552998955,-34.982447001045,0.019867526977366,0.0189148968104292,4.79491065003773,1,17.6813708066015,5,01-Sep-1983,0.00814294884667436,0.0052943460820643,0.65017552998955,-34.982447001045,0.000691840671503963,1
IPFINAL,1,490,0.00852182548826488,0.00632190420816055,0.741848588294402,-25.8151411705598,1,01-Jan-1984,0.00856613901939294,0.00624101589880246,-0.00232512312059049,0.728568131415259,-27.1431868584741,0.0233123801196051,0.0226822933144891,2.70279912168294,1,9.79542611802779,5,01-Sep-1983,0.0085815270993857,0.00626543132897938,0.73010680458352,-26.989319541648,0.0292731470250877,1
IPCONGD,1,490,0.00945043141453425,0.00708330097236147,0.749521441049532,-25.0478558950468,1,01-Sep-1975,0.0102563698105456,0.00733747338806201,-0.00291889642248354,0.715406476521318,-28.4593523478682,0.0306813794779546,0.0296744771293112,3.28180272783,1,9.38729792055074,5,01-Sep-1975,0.0102563698105456,0.00733747338806199,0.715406476521315,-28.4593523478685,0.0353483189314445,1
IPDCONGD,1,490,0.0220206440276182,0.0163753147835544,0.74363468947668,-25.636531052332,1,01-Apr-1965,0.0290754224103703,0.0181601709141954,-0.0109152514961749,0.624588377698623,-37.5411622301377,0.255222443588778,0.247737363291883,2.93276727220569,1,5.23313224998603,5,01-Feb-1982,0.0224994490656706,0.0163381514791944,0.726157846421357,-27.3842153578643,0.226275103034092,0
IPNCONGD,1,490,0.00756108135067697,0.00671769993286115,0.888457565961739,-11.1542434038261,1,01-Jul-1975,0.00801876401622603,0.00670069664987901,-0.00131806736634703,0.835627116139107,-16.4372883860893,0.0155693702499894,0.0153647196691163,1.31444353616858,1,4.45476113568454,5,01-Sep-1975,0.00801087492121057,0.00669703271577379,0.835992670169136,-16.4007329830864,0.313844014027871,0
IPBUSEQ,1,490,0.0126849453309753,0.00855510271795477,0.674429608857998,-32.5570391142002,1,01-Oct-1982,0.0128399928970666,0.00862201673646138,-0.00421797616060522,0.671497002029584,-32.8502997970416,0.0405476090199919,0.0384233976843991,5.23880787778494,1,19.5830410148665,5,01-Jan-1984,0.012712724674326,0.00848999347044237,0.667834291069669,-33.2165708930331,0.000275397382685338,1
IPMAT,1,490,0.0126369904625933,0.00534798937956916,0.423201188241752,-57.6798811758248,1,01-Apr-1965,0.0184549123322732,0.0082379173224564,-0.0102169950098168,0.446380734524015,-55.3619265475985,0.0632566544410591,0.0566985952395272,10.3673823085956,1,37.0756039697732,5,01-Jan-1984,0.0126688851085779,0.00525989775531554,0.415182370842887,-58.4817629157113,5.00568392292067e-08,1
IPDMAT,1,490,0.0189120567914802,0.008917882395303,0.471544818928446,-52.8455181071554,1,01-Apr-1965,0.0271796368911243,0.0128286856101348,-0.0143509512809896,0.471996210307138,-52.8003789692862,0.165601985888416,0.152663294612145,7.8131256741023,1,25.4954826588551,5,01-Feb-1984,0.0189465260742377,0.00875825537625243,0.462261806831246,-53.7738193168754,1.5326499688384e-05,1
IPNMAT,1,490,0.0105813367888641,0.0059470429710703,0.562031347242346,-43.7968652757654,1,01-Jan-1984,0.0105910225106032,0.00590761718773114,-0.00468340532287208,0.557794790995555,-44.2205209004445,0.0327674388883157,0.0302110203047359,7.80170397904149,1,32.8641308830615,5,01-May-1993,0.00949203936604573,0.00498534726686342,0.52521350519222,-47.478649480778,4.0435937254113e-07,1
IPMANSICS,1,490,0.0100898309304524,0.00563606834890937,0.558588978126382,-44.1411021873618,1,01-Oct-1983,0.0101480436469844,0.00559316402452591,-0.00455487962245853,0.551156875068029,-44.8843124931971,0.0350092135523989,0.0325778429095192,6.9449450477961,1,25.7185086795846,5,01-Feb-1984,0.0101160494118538,0.00554778903531206,0.548414584532504,-45.1585415467495,1.37363164334214e-05,1
