series_name,include_main_full_ext,uvfull_nobs,uvfull_mean_pre84,uvfull_mean_post84,uvfull_ratio_post_pre84,uvfull_pct_change_post84,uvfull_break_found,uvfull_break_date,uvfull_mu1,uvfull_mu2,uvfull_delta,uvfull_ratio_break,uvfull_pct_change_break,uvfull_ssr_nobreak,uvfull_ssr_best,uvfull_ssr_gain_pct,uvfull_supw_found,uvfull_supw_stat,uvfull_supw_hac_lag,uvfull_supw_break_date,uvfull_supw_mu1,uvfull_supw_mu2,uvfull_supw_ratio,uvfull_supw_pct_change,uvfull_hansen_pval,uvfull_hansen_sig5
RPI,1,802,0.00390834837924172,0.00570783794222056,1.46042199629296,46.0421996292961,1,01-Nov-2015,0.00411636720404626,0.0102329923465925,0.00611662514254626,2.48592796496236,148.592796496236,0.150066783309735,0.146222796886567,2.5615171714804,1,3.61891669635731,6,01-Mar-1970,0.00340679773456241,0.00536372801374648,1.57441927336359,57.4419273363589,0.440007262390393,0
W875RX1,1,802,0.00381363645359918,0.00459987017904782,1.2061637848848,20.6163784884797,1,01-Oct-2004,0.00388692742114709,0.00521559845127578,0.00132867103012868,1.34183067656472,34.1830676564723,0.0321322894218788,0.0318258992440936,0.953527381016973,1,6.91670501521597,6,01-Jun-1972,0.00332835545584151,0.00455180897270718,1.36758499297856,36.7584992978565,0.108488451881464,0
DPCERA3M086SBEA,1,802,0.00583567408419787,0.00476460144521506,0.816461196508025,-18.3538803491975,1,01-Feb-1987,0.0062083167748317,0.00440857418269507,-0.00179974259213663,0.710107802579803,-28.9892197420197,0.0570798614729549,0.0564474909538058,1.10786975096055,1,4.10967512727415,6,01-Feb-1987,0.0062083167748317,0.00440857418269507,0.710107802579804,-28.9892197420196,0.361535875460265,0
CMRMTSPLx,1,801,0.013472843371863,0.00868981351453871,0.644987347859081,-35.5012652140919,1,01-Mar-1969,0.0167993552640414,0.00934288461129284,-0.00745647065274858,0.556145427276667,-44.3854572723333,0.106119727675739,0.100408514212441,5.38185838617009,1,21.4016486988232,6,01-Mar-1969,0.0167993552640415,0.00934288461129282,0.556145427276664,-44.3854572723336,0.000113662891150557,1
RETAILx,1,802,0.0122632141893676,0.0108136210466811,0.881793376491513,-11.8206623508487,1,01-Nov-2015,0.0107856232305843,0.0145412679002552,0.0037556446696709,1.34820840570633,34.8208405706328,0.199054551052384,0.197605355121989,0.728039586501849,1,2.8313618838806,6,01-Feb-1987,0.01291854937686,0.0102228975221757,0.791334787208165,-20.8665212791835,0.593846934558331,0
INDPRO,1,803,0.00923254984829093,0.00632720843220476,0.685315382659538,-31.4684617340462,1,01-Jan-1984,0.00927658990984057,0.00629531692462653,-0.00298127298521404,0.678624040278905,-32.1375959721095,0.0788141600779973,0.077146184571236,2.11633988754122,1,8.84561801404278,6,01-Jan-1984,0.00927658990984055,0.00629531692462653,0.678624040278906,-32.1375959721094,0.0453441633525016,1
IPFPNSS,1,803,0.00828068299385963,0.00667126428757452,0.805641792171184,-19.4358207828816,1,01-Nov-2015,0.00684689602001755,0.00962209678494552,0.00277520076492797,1.40532246390399,40.5322463903995,0.0709130750631323,0.0701162183964686,1.12370908461421,1,3.31689961121188,6,01-Sep-1983,0.0083384026032903,0.00664725045162336,0.797185116607392,-20.2814883392608,0.494894682115931,0
IPFINAL,1,803,0.00867636620345659,0.00767162579988344,0.8841980179245,-11.58019820755,1,01-Aug-2015,0.00745783991839541,0.0112265015431929,0.00376866162479746,1.50532884401309,50.5328844013093,0.0858205049584589,0.08432151593607,1.74665602715162,1,1.48687658862275,6,01-Oct-2014,0.00744045501075635,0.0110333645213774,1.48288841279558,48.2888412795585,0.913006687028371,0
IPCONGD,1,803,0.00960130231808875,0.00797255253687407,0.830361577288726,-16.9638422711274,1,01-Dec-2015,0.00811273772079712,0.0111937189779192,0.00308098125712204,1.37977084470806,37.9770844708057,0.0790868482418671,0.0781113369241748,1.23346844561184,1,6.06685883421559,6,01-Sep-1975,0.0104929400828834,0.00794574841956632,0.757247097267602,-24.2752902732398,0.157846388152591,0
IPDCONGD,1,803,0.0221132629240632,0.0212604319205193,0.961433506829252,-3.85664931707485,1,01-Dec-2015,0.0194214531460271,0.0337259456664675,0.0143044925204404,1.73653049609043,73.653049609043,1.00992915938934,0.988901104128828,2.08213170844866,1,2.0431975127088,6,01-Dec-2007,0.018941351216154,0.0286941873666673,1.51489653716973,51.4896537169726,0.778507860159668,0
